Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
stanis idumbo,Sevilla,26,54,55,6,19,47.4,332,5,4,12,11,2024-2025,laliga
iglesias,Getafe,471,763,412,15,32,40.6,1355,37,4,36,15,2024-2025,laliga
borja iglesias,Celta Vigo,48,362,284,83,32,34.4,536,13,13,62,32,2024-2025,laliga
kelechi iheanacho,Sevilla,9,50,49,14,4,50.0,126,3,2,10,4,2024-2025,laliga
isco,Betis,96,663,638,68,59,45.8,2047,54,5,54,27,2024-2025,laliga
diego iturralde,Sevilla,6,5,5,1,1,0.0,3,0,0,2,0,2024-2025,laliga
ivan jaime pajuelo,Valencia,11,57,86,13,16,31.3,303,8,2,13,7,2024-2025,laliga
karl jakob hein,Valladolid,1237,17,0,0,0,,1987,0,0,3,0,2024-2025,laliga
adnan januzaj,Las Palmas,31,218,216,15,38,36.8,781,14,5,31,9,2024-2025,laliga
mikel jauregizar,Athletic Club,276,847,306,12,42,47.6,1261,25,1,35,23,2024-2025,laliga
john joe,Getafe,5,10,18,1,5,40.0,47,1,0,4,1,2024-2025,laliga
jofre,Espanyol,137,334,384,71,112,34.8,2141,51,27,64,40,2024-2025,laliga
frenkie de jong,Barcelona,137,821,271,13,8,62.5,2630,38,1,5,7,2024-2025,laliga
joan jordan,Alavés,130,598,321,11,7,85.7,845,19,1,16,7,2024-2025,laliga
juanmi,Getafe,23,107,92,20,10,40.0,186,5,1,27,8,2024-2025,laliga
juanmi,Betis,23,46,41,14,8,50.0,101,1,2,7,4,2024-2025,laliga
