Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
kristijan jakic,Eint Frankfurt,25,82,25,3,2,0.0,89,4,1,1,3,2023-2024,bundesliga
tony jantschke,Gladbach,15,7,0,0,0,,4,0,0,0,0,2023-2024,bundesliga
nuha jatta,RB Leipzig,0,0,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
fredrik jensen,Augsburg,89,256,303,39,26,19.2,638,9,6,22,10,2023-2024,bundesliga
moritz jenz,Wolfsburg,682,578,20,7,1,100.0,1863,3,0,6,2,2023-2024,bundesliga
anthony jung,Werder Bremen,1017,940,78,8,6,83.3,2830,11,1,11,2,2023-2024,bundesliga
josip juranovic,Union Berlin,258,358,243,14,24,41.7,1039,12,3,12,6,2023-2024,bundesliga
david jurasek,Hoffenheim,132,102,102,5,13,23.1,425,7,2,7,1,2023-2024,bundesliga
julian justvan,Hoffenheim,11,19,28,3,0,,222,4,1,1,1,2023-2024,bundesliga
julian justvan,Darmstadt 98,75,259,191,20,37,43.2,827,19,5,15,10,2023-2024,bundesliga
ozan kabak,Hoffenheim,659,895,116,28,15,60.0,2383,21,2,13,5,2023-2024,bundesliga
pavel kaderabek,Hoffenheim,334,633,533,62,15,20.0,1483,24,9,11,11,2023-2024,bundesliga
florian kainz,Köln,204,645,489,34,42,54.8,1452,39,8,27,25,2023-2024,bundesliga
sasa kalajdzic,Eint Frankfurt,15,72,22,5,3,33.3,77,3,0,4,2,2023-2024,bundesliga
jakub kaminski,Wolfsburg,44,97,119,22,12,8.3,334,5,9,9,14,2023-2024,bundesliga
kevin kampl,RB Leipzig,183,763,200,11,14,71.4,1978,27,1,15,14,2023-2024,bundesliga
harry kane,Bayern Munich,69,395,541,180,59,40.7,1287,25,14,45,45,2023-2024,bundesliga
atakan karazor,Stuttgart,378,1434,382,15,27,18.5,1991,42,0,23,19,2023-2024,bundesliga
emir karic,Darmstadt 98,389,689,344,14,29,62.1,2268,32,1,20,10,2023-2024,bundesliga
silas katompa,Stuttgart,29,163,248,67,76,50.0,1176,29,21,45,20,2023-2024,bundesliga
mikkel kaufmann,Union Berlin,21,102,92,26,10,30.0,129,1,4,27,10,2023-2024,bundesliga
naby keita,Werder Bremen,16,56,10,1,6,66.7,182,1,0,3,1,2023-2024,bundesliga
yannik keitel,Freiburg,308,341,34,10,6,50.0,1137,3,1,7,3,2023-2024,bundesliga
thomas keller,Heidenheim,2,7,0,0,0,,3,0,0,1,0,2023-2024,bundesliga
aljoscha kemlein,Union Berlin,5,6,2,0,1,100.0,31,0,0,1,0,2023-2024,bundesliga
tobias kempe,Darmstadt 98,117,336,247,29,19,42.1,696,12,3,28,11,2023-2024,bundesliga
rani khedira,Union Berlin,198,337,70,6,8,50.0,296,5,0,12,9,2023-2024,bundesliga
luca kilian,Köln,221,152,24,4,1,0.0,582,3,0,5,0,2023-2024,bundesliga
joshua kimmich,Bayern Munich,422,1282,762,23,25,40.0,3739,66,4,19,16,2023-2024,bundesliga
christoph klarer,Darmstadt 98,768,590,88,32,7,85.7,1776,7,2,6,6,2023-2024,bundesliga
tim kleindienst,Heidenheim,130,632,577,142,63,30.2,1096,37,16,110,56,2023-2024,bundesliga
lukas klostermann,RB Leipzig,456,778,74,7,1,0.0,2038,9,0,4,0,2023-2024,bundesliga
ansgar knauff,Eint Frankfurt,180,453,424,101,64,39.1,1891,34,38,44,26,2023-2024,bundesliga
robin knoche,Union Berlin,719,601,32,14,5,60.0,1931,4,0,16,0,2023-2024,bundesliga
gregor kobel,Dortmund,1232,8,0,0,1,100.0,1728,0,0,0,0,2023-2024,bundesliga
robin koch,Eint Frankfurt,1222,1189,68,32,4,50.0,4101,15,0,9,2,2023-2024,bundesliga
dominik kohr,Mainz 05,541,726,156,28,11,45.5,1235,10,2,22,4,2023-2024,bundesliga
randal kolo muani,Eint Frankfurt,1,30,27,10,15,26.7,180,4,2,3,8,2023-2024,bundesliga
mert komur,Augsburg,10,17,27,3,4,0.0,135,5,1,2,2,2023-2024,bundesliga
manu kone,Gladbach,181,525,238,31,69,53.6,1764,33,6,41,41,2023-2024,bundesliga
odilon kossounou,Leverkusen,404,976,237,9,40,57.5,2880,35,4,12,15,2023-2024,bundesliga
tomas koubek,Augsburg,114,0,0,0,0,,120,0,0,0,0,2023-2024,bundesliga
matej kovar,Leverkusen,19,0,0,0,0,,38,0,0,0,0,2023-2024,bundesliga
dawid kownacki,Werder Bremen,10,66,83,31,3,66.7,88,1,3,18,5,2023-2024,bundesliga
alex kral,Union Berlin,164,311,151,17,12,41.7,837,16,1,15,12,2023-2024,bundesliga
andrej kramaric,Hoffenheim,149,589,640,102,51,49.0,2426,49,24,47,27,2023-2024,bundesliga
christoph kramer,Gladbach,58,109,60,8,10,40.0,280,3,4,3,4,2023-2024,bundesliga
frans kratzig,Bayern Munich,20,23,17,1,1,0.0,108,1,0,1,2,2023-2024,bundesliga
tom krau,Mainz 05,202,496,181,14,12,25.0,798,13,4,27,13,2023-2024,bundesliga
lukas kubler,Freiburg,446,623,193,14,10,30.0,981,14,0,7,6,2023-2024,bundesliga
mahmut kucuksahin,Augsburg,2,2,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
christian kuhlwetter,Heidenheim,1,0,2,2,0,,28,0,1,1,0,2023-2024,bundesliga
moritzbroni kwarteng,Bochum,14,65,76,15,18,38.9,250,6,3,15,5,2023-2024,bundesliga
maxence lacroix,Wolfsburg,903,781,59,22,15,46.7,2119,9,0,20,1,2023-2024,bundesliga
aissa laidouni,Union Berlin,142,340,197,24,27,37.0,895,17,5,16,20,2023-2024,bundesliga
konrad laimer,Bayern Munich,315,893,482,49,48,47.9,2893,56,17,27,17,2023-2024,bundesliga
stefan lainer,Gladbach,195,263,127,13,8,25.0,606,14,3,10,4,2023-2024,bundesliga
hugo larsson,Eint Frankfurt,339,641,206,16,19,36.8,1185,19,4,25,7,2023-2024,bundesliga
diogo leite,Union Berlin,981,886,126,22,11,54.5,2495,9,2,24,7,2023-2024,bundesliga
maxim leitsch,Mainz 05,126,73,6,0,2,0.0,170,0,0,1,0,2023-2024,bundesliga
