Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
brennan johnson,Nott'ham Forest,15,38,34,9,7,28.6,205,4,3,4,2,2023-2024,premier-league
joseph johnson,Luton Town,18,16,2,0,0,,9,0,0,0,1,2023-2024,premier-league
sam johnstone,Crystal Palace,637,3,0,0,0,,1281,0,0,0,0,2023-2024,premier-league
curtis jones,Liverpool,127,509,287,38,29,51.7,1425,25,7,15,33,2023-2024,premier-league
jorginho,Arsenal,154,479,239,5,5,40.0,945,11,0,5,4,2023-2024,premier-league
diogo jota,Liverpool,53,240,311,107,41,36.6,1239,29,23,42,18,2023-2024,premier-league
mads juel andersen,Luton Town,118,57,7,4,1,0.0,112,0,0,6,0,2023-2024,premier-league
hamed junior traore,Bournemouth,13,14,15,2,8,50.0,80,1,1,2,1,2023-2024,premier-league
mathias jrgensen,Brentford,287,350,70,24,4,75.0,758,4,0,4,1,2023-2024,premier-league
issa kabore,Luton Town,329,386,283,18,42,42.9,1558,33,10,25,8,2023-2024,premier-league
sasa kalajdzic,Wolves,20,44,24,7,1,100.0,48,1,0,2,5,2023-2024,premier-league
boubacar kamara,Aston Villa,305,720,186,13,30,46.7,1663,22,1,19,13,2023-2024,premier-league
