Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
makoto hasebe,Eint Frankfurt,1984.0,8,2,218,0,0,1,0,0,10,3,2023-2024,bundesliga
thorgan hazard,Dortmund,1993.0,1,0,7,0,0,0,0,0,2,1,2023-2024,bundesliga
dominique heintz,Köln,1993.0,12,6,568,0,0,0,0,10,30,16,2023-2024,bundesliga
benjamin henrichs,RB Leipzig,1997.0,33,28,2526,1,5,5,0,53,124,161,2023-2024,bundesliga
patrick herrmann,Gladbach,1991.0,8,0,86,0,0,1,0,3,6,8,2023-2024,bundesliga
piero hincapie,Leverkusen,2002.0,26,16,1484,1,2,2,0,34,102,50,2023-2024,bundesliga
adam hlozek,Leverkusen,2002.0,23,5,459,2,3,1,0,14,13,33,2023-2024,bundesliga
nicolas hofler,Freiburg,1990.0,28,26,2330,1,1,10,1,14,94,15,2023-2024,bundesliga
jonas hofmann,Leverkusen,1992.0,32,26,2204,5,7,3,0,63,119,221,2023-2024,bundesliga
philipp hofmann,Bochum,1993.0,29,18,1571,4,2,1,0,7,36,86,2023-2024,bundesliga
lucas holer,Freiburg,1994.0,33,26,2305,7,2,7,0,24,49,153,2023-2024,bundesliga
fabian holland,Darmstadt 98,1990.0,23,23,1835,0,2,4,1,11,87,47,2023-2024,bundesliga
benedict hollerbach,Union Berlin,2001.0,28,15,1282,5,0,2,0,49,39,126,2023-2024,bundesliga
gerrit holtmann,Darmstadt 98,1995.0,10,2,392,0,0,1,0,13,18,20,2023-2024,bundesliga
franck honorat,Gladbach,1996.0,32,28,2345,3,9,1,0,97,93,242,2023-2024,bundesliga
mathias honsak,Darmstadt 98,1996.0,23,10,1021,1,1,1,0,22,19,62,2023-2024,bundesliga
fraser hornby,Darmstadt 98,1999.0,7,1,217,0,0,1,0,7,2,7,2023-2024,bundesliga
lukas hradecky,Leverkusen,1989.0,33,33,2970,0,0,2,0,0,1,0,2023-2024,bundesliga
timo hubers,Köln,1996.0,31,31,2778,0,0,6,0,19,104,3,2023-2024,bundesliga
mats hummels,Dortmund,1988.0,25,20,1581,3,0,4,1,11,82,1,2023-2024,bundesliga
denis huseinbasic,Köln,2001.0,26,18,1627,0,3,5,0,35,93,29,2023-2024,bundesliga
iago,Augsburg,1997.0,23,18,1622,1,1,4,0,24,54,51,2023-2024,bundesliga
borja iglesias,Leverkusen,1993.0,7,2,256,0,0,0,0,3,5,19,2023-2024,bundesliga
joel imasuen,Werder Bremen,2004.0,1,0,2,0,0,0,0,0,0,0,2023-2024,bundesliga
thomas isherwood,Darmstadt 98,1998.0,12,8,636,0,0,1,0,6,11,1,2023-2024,bundesliga
ko itakura,Gladbach,1997.0,20,18,1596,3,0,9,0,14,36,7,2023-2024,bundesliga
hiroki ito,Stuttgart,1999.0,26,25,2228,0,2,1,0,29,121,32,2023-2024,bundesliga
lee jaesung,Mainz 05,1992.0,29,24,2113,6,3,6,0,25,82,121,2023-2024,bundesliga
paul jaeckel,Union Berlin,1998.0,6,2,234,0,0,0,0,1,14,1,2023-2024,bundesliga
kristijan jakic,Augsburg,1997.0,14,13,1051,2,1,4,0,11,56,10,2023-2024,bundesliga
kristijan jakic,Eint Frankfurt,1997.0,4,1,200,0,0,1,0,3,11,9,2023-2024,bundesliga
tony jantschke,Gladbach,1990.0,4,0,27,0,0,0,0,0,2,0,2023-2024,bundesliga
nuha jatta,RB Leipzig,2006.0,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
fredrik jensen,Augsburg,1997.0,22,18,1338,2,4,1,0,22,46,90,2023-2024,bundesliga
moritz jenz,Wolfsburg,1999.0,22,21,1742,0,1,7,1,2,47,4,2023-2024,bundesliga
anthony jung,Werder Bremen,1991.0,31,30,2579,1,0,4,1,24,107,21,2023-2024,bundesliga
josip juranovic,Union Berlin,1995.0,21,14,1294,0,2,4,0,22,52,46,2023-2024,bundesliga
david jurasek,Hoffenheim,2000.0,13,4,496,0,1,1,0,12,12,38,2023-2024,bundesliga
julian justvan,Hoffenheim,1998.0,4,0,49,0,0,0,0,8,5,12,2023-2024,bundesliga
julian justvan,Darmstadt 98,1998.0,14,11,1023,2,2,1,0,20,56,50,2023-2024,bundesliga
ozan kabak,Hoffenheim,2000.0,28,28,2282,4,0,11,1,21,110,11,2023-2024,bundesliga
pavel kaderabek,Hoffenheim,1992.0,29,28,2412,3,4,7,0,38,88,153,2023-2024,bundesliga
florian kainz,Köln,1992.0,33,29,2197,5,4,4,0,40,124,100,2023-2024,bundesliga
sasa kalajdzic,Eint Frankfurt,1997.0,5,5,325,0,1,0,0,1,8,9,2023-2024,bundesliga
jakub kaminski,Wolfsburg,2002.0,17,4,473,0,2,0,0,13,18,53,2023-2024,bundesliga
kevin kampl,RB Leipzig,1990.0,26,14,1363,1,0,3,0,28,88,27,2023-2024,bundesliga
harry kane,Bayern Munich,1993.0,32,32,2839,36,8,2,0,36,102,164,2023-2024,bundesliga
atakan karazor,Stuttgart,1996.0,33,31,2623,0,4,9,0,24,142,31,2023-2024,bundesliga
emir karic,Darmstadt 98,1997.0,27,18,1783,0,0,4,0,56,115,85,2023-2024,bundesliga
silas katompa,Stuttgart,1998.0,27,8,900,5,2,0,0,49,25,130,2023-2024,bundesliga
mikkel kaufmann,Union Berlin,2001.0,18,4,486,1,0,0,0,6,11,34,2023-2024,bundesliga
naby keita,Werder Bremen,1995.0,5,1,109,0,0,2,0,1,13,4,2023-2024,bundesliga
yannik keitel,Freiburg,2000.0,15,11,920,1,0,0,0,4,48,7,2023-2024,bundesliga
thomas keller,Heidenheim,1999.0,2,0,2,0,0,0,0,0,2,0,2023-2024,bundesliga
aljoscha kemlein,Union Berlin,2004.0,2,0,29,0,0,0,0,0,0,1,2023-2024,bundesliga
tobias kempe,Darmstadt 98,1989.0,24,15,1350,3,2,1,0,15,44,46,2023-2024,bundesliga
rani khedira,Union Berlin,1994.0,20,18,1343,0,0,5,1,6,35,15,2023-2024,bundesliga
luca kilian,Köln,1999.0,13,6,635,0,0,1,0,7,12,1,2023-2024,bundesliga
joshua kimmich,Bayern Munich,1995.0,28,27,2176,1,6,1,1,56,229,114,2023-2024,bundesliga
