Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
karl toko ekambi,Lyon,69,308,411,85,778,53,49.1,21,39.6,1541,35,24,38,24,2022-2023,ligue-1
corentin tolisso,Lyon,409,1370,400,23,2164,18,38.9,7,38.9,3431,43,2,21,17,2022-2023,ligue-1
birama toure,Auxerre,514,1188,214,14,1903,23,47.8,8,34.8,2210,21,1,39,15,2022-2023,ligue-1
mohamed toure,Reims,1,2,10,7,13,4,50.0,2,50.0,23,0,3,2,0,2022-2023,ligue-1
souleymane toure,Marseille,23,25,2,0,49,1,0.0,1,100.0,45,0,0,1,0,2022-2023,ligue-1
souleymane toure,Auxerre,488,437,50,17,963,18,44.4,7,38.9,1922,7,0,7,2,2022-2023,ligue-1
yoann touzghar,Ajaccio,12,79,52,10,143,6,33.3,3,50.0,92,3,1,10,4,2022-2023,ligue-1
charles traore,Nantes,123,129,38,2,288,2,0.0,0,0.0,332,3,0,3,0,2022-2023,ligue-1
hamari traore,Rennes,426,1130,537,64,2083,18,50.0,9,50.0,3415,63,8,26,9,2022-2023,ligue-1
theo trinker,Nice,0,0,0,0,0,0,,0,,0,0,0,0,0,2022-2023,ligue-1
adrien truffert,Rennes,410,790,467,30,1656,46,45.7,19,41.3,2659,53,9,27,14,2022-2023,ligue-1
theocharis tsingaras,Toulouse,0,4,1,0,5,0,,0,,3,0,0,0,0,2022-2023,ligue-1
ike ugbo,Troyes,19,125,79,22,222,17,35.3,11,64.7,271,4,6,18,7,2022-2023,ligue-1
lesley ugochukwu,Rennes,172,546,80,7,790,22,63.6,6,27.3,1453,16,4,6,11,2022-2023,ligue-1
cengiz under,Marseille,139,528,792,130,1439,96,40.6,50,52.1,2493,47,30,60,31,2022-2023,ligue-1
jere uronen,Brest,61,91,41,1,192,2,100.0,0,0.0,251,4,0,2,0,2022-2023,ligue-1
yan valery,Angers,501,746,379,14,1603,69,47.8,28,40.6,3515,71,6,35,31,2022-2023,ligue-1
vanderson,Monaco,350,766,583,51,1689,67,40.3,32,47.8,2745,37,9,37,21,2022-2023,ligue-1
jordan veretout,Marseille,399,1489,511,33,2375,18,66.7,5,27.8,4999,62,6,28,13,2022-2023,ligue-1
marco verratti,Paris S-G,527,1743,538,26,2783,53,54.7,14,26.4,5529,79,5,17,33,2022-2023,ligue-1
joao victor,Nantes,188,281,80,6,539,11,54.5,3,27.3,1227,22,1,10,8,2022-2023,ligue-1
clement vidal,Ajaccio,498,450,33,16,970,1,100.0,0,0.0,1945,3,0,5,5,2022-2023,ligue-1
alan virginius,Lille,8,30,85,23,122,7,0.0,6,85.7,291,6,8,7,6,2022-2023,ligue-1
mattia viti,Nice,222,189,15,2,424,12,41.7,5,41.7,749,5,0,2,2,2022-2023,ligue-1
vitinha,Marseille,14,82,107,42,198,11,45.5,6,54.5,191,6,2,18,8,2022-2023,ligue-1
vitinha,Paris S-G,325,1299,584,38,2189,53,58.5,17,32.1,4552,74,5,33,33,2022-2023,ligue-1
kevin volland,Monaco,15,122,133,37,267,5,20.0,3,60.0,270,6,5,19,7,2022-2023,ligue-1
elye wahi,Montpellier,36,307,383,125,716,76,38.2,37,48.7,1442,40,36,87,46,2022-2023,ligue-1
timothy weah,Lille,225,571,404,38,1183,37,54.1,13,35.1,2724,48,13,24,10,2022-2023,ligue-1
mateusz wieteska,Clermont Foot,1017,868,57,31,1925,13,84.6,0,0.0,4515,10,0,11,6,2022-2023,ligue-1
christopher wooh,Rennes,290,419,15,8,722,2,100.0,0,0.0,1774,2,0,7,1,2022-2023,ligue-1
christopher wooh,Lens,1,2,0,0,3,0,,0,,2,0,0,0,0,2022-2023,ligue-1
xeka,Rennes,74,248,61,6,380,6,16.7,3,50.0,559,8,0,13,3,2022-2023,ligue-1
yusuf yazc,Lille,15,48,54,6,116,6,16.7,5,83.3,230,6,0,2,2,2022-2023,ligue-1
darlin yongwa,Lorient,98,167,190,28,451,48,27.1,32,66.7,800,16,8,13,10,2022-2023,ligue-1
leny yoro,Lille,293,348,4,3,641,3,100.0,0,0.0,1198,1,0,5,1,2022-2023,ligue-1
mohamed youssouf,Ajaccio,490,768,345,5,1595,33,33.3,18,54.5,2314,35,0,30,14,2022-2023,ligue-1
warren zaireemery,Paris S-G,123,426,192,21,726,29,55.2,11,37.9,1522,22,4,11,14,2022-2023,ligue-1
oliver zanden,Toulouse,25,31,33,3,89,6,50.0,2,33.3,121,0,0,3,0,2022-2023,ligue-1
akim zedadka,Auxerre,298,398,232,21,921,35,25.7,22,62.9,1350,16,4,27,17,2022-2023,ligue-1
akim zedadka,Lille,71,115,69,7,252,8,37.5,4,50.0,519,8,1,4,3,2022-2023,ligue-1
mehdi zeffane,Clermont Foot,79,178,110,11,360,9,44.4,5,55.6,511,8,3,13,1,2022-2023,ligue-1
arber zeneli,Reims,55,220,339,56,602,60,28.3,38,63.3,1348,28,29,47,23,2022-2023,ligue-1
nathan zeze,Nantes,15,15,0,0,30,0,,0,,49,0,0,0,0,2022-2023,ligue-1
edon zhegrova,Lille,42,224,534,79,789,111,47.7,54,48.6,2347,53,35,33,17,2022-2023,ligue-1
tanguy zoukrou,Troyes,186,95,12,1,291,3,66.7,1,33.3,353,2,0,1,2,2022-2023,ligue-1
