Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
filippo missori,Roma,4,0,2,7,50.0,2022-2023,serie-a
henrikh mkhitaryan,Inter,28,0,19,166,42.9,2022-2023,serie-a
salvatore molina,Monza,4,0,14,10,0.0,2022-2023,serie-a
daniele montevago,Sampdoria,8,4,1,5,37.8,2022-2023,serie-a
lorenzo montipo,Hellas Verona,0,0,0,55,66.7,2022-2023,serie-a
nikola moro,Bologna,15,1,18,97,64.5,2022-2023,serie-a
dany mota,Monza,20,13,45,60,35.5,2022-2023,serie-a
joao moutinho,Spezia,1,0,3,7,0.0,2022-2023,serie-a
mert muldur,Sassuolo,1,0,0,0,,2022-2023,serie-a
luis muriel,Atalanta,18,3,82,39,28.9,2022-2023,serie-a
jeison murillo,Sampdoria,18,0,1,65,58.3,2022-2023,serie-a
nicola murru,Sampdoria,15,1,9,36,50.0,2022-2023,serie-a
juan musso,Atalanta,0,0,0,18,100.0,2022-2023,serie-a
joakim mhle,Atalanta,16,6,38,138,25.0,2022-2023,serie-a
herculano nabian,Empoli,0,0,0,0,,2022-2023,serie-a
michel ndary adopo,Torino,6,0,0,20,60.0,2022-2023,serie-a
tanguy ndombele,Napoli,15,0,1,42,70.0,2022-2023,serie-a
ilija nestorovski,Udinese,18,5,0,13,25.5,2022-2023,serie-a
cyril ngonge,Hellas Verona,13,5,18,29,32.7,2022-2023,serie-a
hans nicolussi caviglia,Salernitana,13,0,4,46,45.0,2022-2023,serie-a
dimitris nikolaou,Spezia,27,0,18,202,50.8,2022-2023,serie-a
