Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
nils petersen,Freiburg,18,55,65,15,138,5,0.0,4,80.0,52,1,1,16,4,2022-2023,bundesliga
lukas petkov,Augsburg,16,28,18,7,62,4,25.0,3,75.0,16,0,0,6,3,2022-2023,bundesliga
luca pfeiffer,Stuttgart,16,156,85,29,255,6,33.3,3,50.0,254,8,0,13,6,2022-2023,bundesliga
maximilian philipp,Wolfsburg,3,19,29,4,51,2,0.0,2,100.0,31,0,2,1,1,2022-2023,bundesliga
maximilian philipp,Werder Bremen,33,102,66,15,196,10,50.0,5,50.0,96,4,2,10,8,2022-2023,bundesliga
amos pieper,Werder Bremen,627,742,83,22,1448,3,33.3,0,0.0,1935,12,0,9,8,2022-2023,bundesliga
marvin plattenhardt,Hertha BSC,450,649,356,7,1445,18,16.7,10,55.6,1123,21,5,16,6,2022-2023,bundesliga
alassane plea,Gladbach,94,462,400,57,945,31,51.6,13,41.9,1321,32,13,39,22,2022-2023,bundesliga
joel pohjanpalo,Leverkusen,0,1,0,0,1,0,,0,,2,0,0,0,0,2022-2023,bundesliga
sebastian polter,Schalke 04,21,104,108,43,230,4,50.0,2,50.0,131,4,2,26,11,2022-2023,bundesliga
stefan posch,Hoffenheim,7,5,0,0,12,0,,0,,11,0,0,0,0,2022-2023,bundesliga
yussuf poulsen,RB Leipzig,17,102,80,28,198,9,66.7,3,33.3,271,3,3,27,10,2022-2023,bundesliga
grischa promel,Hoffenheim,159,327,170,39,652,14,35.7,6,42.9,674,12,6,24,13,2022-2023,bundesliga
tymoteusz puchacz,Union Berlin,5,19,20,0,44,2,0.0,1,50.0,31,0,0,4,0,2022-2023,bundesliga
eduardo quaresma,Hoffenheim,25,53,4,1,81,2,50.0,0,0.0,133,1,0,1,0,2022-2023,bundesliga
joshua quarshie,Hoffenheim,0,0,3,1,3,0,,0,,6,0,0,0,0,2022-2023,bundesliga
diant ramaj,Eint Frankfurt,28,0,0,0,28,0,,0,,66,0,0,0,0,2022-2023,bundesliga
nicolai rapp,Werder Bremen,24,36,8,3,68,1,0.0,1,100.0,46,0,1,0,0,2022-2023,bundesliga
david raum,RB Leipzig,365,547,471,34,1367,34,23.5,21,61.8,1564,23,10,17,9,2022-2023,bundesliga
rocco reitz,Gladbach,0,2,0,0,2,0,,0,,2,0,0,0,0,2022-2023,bundesliga
marco reus,Dortmund,106,329,308,61,730,25,36.0,13,52.0,1006,25,11,29,16,2022-2023,bundesliga
elvis rexhbecaj,Augsburg,370,631,194,8,1178,21,28.6,9,42.9,1450,15,0,35,13,2022-2023,bundesliga
gio reyna,Dortmund,36,168,220,46,419,23,34.8,12,52.2,759,19,7,13,15,2022-2023,bundesliga
marco richter,Hertha BSC,202,482,412,44,1074,88,40.9,43,48.9,1173,28,8,57,34,2022-2023,bundesliga
manuel riemann,Bochum,1736,148,1,1,1879,0,,0,,3752,0,0,1,0,2022-2023,bundesliga
sebastian rode,Eint Frankfurt,164,661,178,21,997,14,50.0,4,28.6,1321,16,3,12,6,2022-2023,bundesliga
agustin rogel,Hertha BSC,434,275,20,11,726,0,,0,,668,1,0,12,0,2022-2023,bundesliga
merlin rohl,Freiburg,6,16,8,3,30,1,0.0,0,0.0,39,1,0,2,4,2022-2023,bundesliga
tony rolke,Hertha BSC,3,7,1,0,11,0,,0,,0,0,0,1,0,2022-2023,bundesliga
tom rothe,Dortmund,8,7,7,1,22,1,100.0,0,0.0,14,0,0,0,0,2022-2023,bundesliga
jerome roussillon,Wolfsburg,0,4,7,0,11,1,0.0,1,100.0,5,0,0,2,2,2022-2023,bundesliga
jerome roussillon,Union Berlin,142,222,193,13,551,28,39.3,14,50.0,551,11,4,12,8,2022-2023,bundesliga
sebastian rudy,Hoffenheim,141,296,112,4,547,3,0.0,3,100.0,461,5,0,12,8,2022-2023,bundesliga
georginio rutter,Hoffenheim,27,98,219,67,338,71,47.9,34,47.9,723,11,24,46,25,2022-2023,bundesliga
julian ryerson,Union Berlin,176,246,215,12,627,38,47.4,15,39.5,690,16,4,11,14,2022-2023,bundesliga
julian ryerson,Dortmund,313,548,311,12,1162,47,36.2,22,46.8,1758,26,6,18,18,2022-2023,bundesliga
frederik rnnow,Union Berlin,1318,23,0,0,1340,0,,0,,3107,0,0,0,0,2022-2023,bundesliga
marcel sabitzer,Bayern Munich,88,323,141,9,548,3,33.3,2,66.7,572,8,0,6,3,2022-2023,bundesliga
dikenirafid salifou,Werder Bremen,0,0,0,0,0,0,,0,,0,0,0,0,0,2022-2023,bundesliga
roland sallai,Freiburg,72,194,202,40,465,27,44.4,12,44.4,579,11,3,21,10,2022-2023,bundesliga
diadie samassekou,Hoffenheim,5,15,3,0,23,1,100.0,0,0.0,13,0,0,0,0,2022-2023,bundesliga
leroy sane,Bayern Munich,111,616,683,101,1379,136,55.1,56,41.2,2650,69,30,60,60,2022-2023,bundesliga
sidi sane,Schalke 04,1,4,5,0,10,1,0.0,0,0.0,12,0,0,1,0,2022-2023,bundesliga
bouna sarr,Bayern Munich,1,1,0,0,2,0,,0,,0,0,0,0,0,2022-2023,bundesliga
