Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
milan skriniar,Paris S-G,751,1176,38,5,1959,3,66.7,0,0.0,3525,11,0,6,1,2023-2024,ligue-1
naatan skytta,Toulouse,4,39,34,5,77,1,100.0,0,0.0,104,0,1,4,1,2023-2024,ligue-1
eduard sobol,Strasbourg,2,9,4,0,15,0,,0,,69,3,0,0,0,2023-2024,ligue-1
emran soglo,Marseille,14,30,18,4,61,2,50.0,1,50.0,57,2,1,3,1,2023-2024,ligue-1
carlos soler,Paris S-G,183,423,273,36,872,10,50.0,4,40.0,1302,23,2,14,8,2023-2024,ligue-1
florian sotoca,Lens,171,837,757,132,1745,39,51.3,15,38.5,2515,70,10,49,33,2023-2024,ligue-1
issa soumare,Le Havre,8,49,43,6,98,11,27.3,4,36.4,143,5,1,11,2,2023-2024,ligue-1
saidou sow,Strasbourg,230,202,14,6,440,6,66.7,1,16.7,1010,3,0,3,3,2023-2024,ligue-1
stijn spierings,Toulouse,256,826,189,6,1257,12,41.7,6,50.0,2124,35,0,13,15,2023-2024,ligue-1
stijn spierings,Lens,15,39,15,1,69,0,,0,,87,1,0,0,1,2023-2024,ligue-1
benjamin stambouli,Reims,46,89,25,2,158,1,100.0,0,0.0,229,1,0,2,0,2023-2024,ligue-1
gabriel suazo,Toulouse,393,797,558,53,1726,62,56.5,24,38.7,2567,50,9,33,16,2023-2024,ligue-1
abakar sylla,Strasbourg,717,729,56,18,1490,13,69.2,4,30.8,3215,11,0,14,7,2023-2024,ligue-1
dembo sylla,Lorient,6,8,14,1,28,0,,0,,12,1,0,1,1,2023-2024,ligue-1
issiaga sylla,Montpellier,289,410,212,30,899,19,52.6,9,47.4,1562,21,2,30,14,2023-2024,ligue-1
musa altaamari,Montpellier,95,331,444,92,843,115,38.3,61,53.0,2262,59,46,80,32,2023-2024,ligue-1
nicolas tagliafico,Lyon,364,688,339,35,1385,16,31.3,10,62.5,2019,27,4,13,12,2023-2024,ligue-1
montassar talbi,Lorient,760,654,52,12,1453,15,66.7,5,33.3,3816,12,0,23,4,2023-2024,ligue-1
oussama targhalline,Le Havre,197,497,135,3,813,16,43.8,7,43.8,1794,32,0,7,5,2023-2024,ligue-1
enzo tchato,Montpellier,222,332,196,10,741,5,80.0,1,20.0,1543,31,3,9,2,2023-2024,ligue-1
arnau tenas,Paris S-G,218,2,0,0,220,0,,0,,397,0,0,0,0,2023-2024,ligue-1
martin terrier,Rennes,75,288,323,87,679,39,41.0,18,46.2,1153,25,9,33,18,2023-2024,ligue-1
