Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
nahuel tenaglia,Alavés,27,8,0.07,2.2,2.2,0.08,-0.2,2024-2025,laliga
marcandre ter stegen,Barcelona,0,0,,0.0,0.0,,0.0,2024-2025,laliga
ramon terrats,Villarreal,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
ramon terrats,Getafe,19,8,0.21,2.2,2.2,0.11,1.8,2024-2025,laliga
raul de tomas,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2024-2025,laliga
pablo torre,Barcelona,6,4,0.5,0.4,0.4,0.06,2.6,2024-2025,laliga
david torres,Valladolid,3,1,0.0,0.3,0.3,0.09,-0.3,2024-2025,laliga
ferran torres,Barcelona,48,22,0.21,8.0,8.0,0.17,2.0,2024-2025,laliga
lucas torro,Osasuna,31,7,0.1,2.3,2.3,0.07,0.7,2024-2025,laliga
hamari traore,Real Sociedad,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,laliga
oscar trejo,Rayo Vallecano,5,2,0.2,0.6,0.6,0.12,0.4,2024-2025,laliga
viktor tsyhankov,Girona,35,9,0.06,2.8,2.8,0.08,-0.8,2024-2025,laliga
benat turrientes,Real Sociedad,7,1,0.0,0.6,0.6,0.08,-0.6,2024-2025,laliga
christantus uche,Getafe,50,14,0.08,3.8,3.8,0.08,0.2,2024-2025,laliga
naci unuvar,Espanyol,1,0,0.0,0.0,0.0,0.05,0.0,2024-2025,laliga
oscar valentin,Rayo Vallecano,5,1,0.0,0.4,0.4,0.09,-0.4,2024-2025,laliga
german valera,Valencia,3,2,0.0,0.1,0.1,0.04,-0.1,2024-2025,laliga
martin valjent,Mallorca,12,5,0.25,0.8,0.8,0.07,2.2,2024-2025,laliga
jesus vallejo,Real Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
federico valverde,Real Madrid,57,22,0.11,2.7,2.7,0.05,3.3,2024-2025,laliga
siebe van der heyden,Mallorca,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
ruben vargas,Sevilla,17,5,0.12,2.0,2.0,0.12,0.0,2024-2025,laliga
jose luis garcia vaya,Valencia,12,4,0.0,2.1,0.5,0.04,-0.1,2024-2025,laliga
jesus vazquez,Valencia,5,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
lucas vazquez,Real Madrid,15,3,0.07,1.4,1.4,0.1,-0.4,2024-2025,laliga
alejo veliz,Espanyol,19,6,0.05,2.3,2.3,0.12,-1.3,2024-2025,laliga
mikel vesga,Athletic Club,5,2,0.0,1.2,0.4,0.08,-1.2,2024-2025,laliga
carlos vicente,Alavés,35,13,0.11,3.5,2.7,0.08,1.5,2024-2025,laliga
pau victor,Barcelona,14,8,0.14,3.0,3.0,0.22,-1.0,2024-2025,laliga
nacho vidal,Osasuna,0,0,,0.0,0.0,,0.0,2024-2025,laliga
fran vieites,Betis,1,1,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
sergio viera,Las Palmas,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
asier villalibre,Alavés,8,1,0.0,1.6,0.8,0.1,-0.6,2024-2025,laliga
ivan villar,Celta Vigo,0,0,,0.0,0.0,,0.0,2024-2025,laliga
viti,Las Palmas,3,2,0.0,0.1,0.1,0.02,-0.1,2024-2025,laliga
daniel vivian,Athletic Club,18,5,0.22,1.9,1.9,0.11,2.1,2024-2025,laliga
krapyvtsov vladyslav,Girona,0,0,,0.0,0.0,,0.0,2024-2025,laliga
inaki williams,Athletic Club,63,24,0.1,7.6,7.6,0.12,-1.6,2024-2025,laliga
nico williams,Athletic Club,54,19,0.09,4.2,4.2,0.08,0.8,2024-2025,laliga
axel witsel,Atlético Madrid,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
lamine yamal,Barcelona,144,46,0.06,9.8,9.8,0.07,-0.8,2024-2025,laliga
daniel yanez,Real Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
bertug yldrm,Getafe,19,7,0.05,2.5,2.5,0.13,-1.5,2024-2025,laliga
