Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
fabian schar,Newcastle Utd,40,11,0.1,3.7,3.7,0.09,0.3,2024-2025,premier-league
jeffrey schlupp,Crystal Palace,4,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,premier-league
alex scott,Bournemouth,15,6,0.0,0.7,0.7,0.05,-0.7,2024-2025,premier-league
matz sels,Nott'ham Forest,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
nelson semedo,Wolves,18,7,0.0,0.9,0.9,0.05,-0.9,2024-2025,premier-league
antoine semenyo,Bournemouth,125,40,0.09,10.0,10.0,0.08,1.0,2024-2025,premier-league
marcos senesi,Bournemouth,3,0,0.0,0.8,0.8,0.28,-0.8,2024-2025,premier-league
ryan sessegnon,Fulham,14,8,0.29,1.6,1.6,0.12,2.4,2024-2025,premier-league
luke shaw,Manchester Utd,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,premier-league
zain silcottduberry,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
bernardo silva,Manchester City,32,11,0.13,3.9,3.9,0.12,0.1,2024-2025,premier-league
jota silva,Nott'ham Forest,23,7,0.13,2.1,2.1,0.09,0.9,2024-2025,premier-league
eric da silva moreira,Nott'ham Forest,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jahmai simpsonpusey,Manchester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
luis sinisterra,Bournemouth,13,6,0.08,1.2,1.2,0.09,-0.2,2024-2025,premier-league
oliver skipp,Leicester City,5,1,0.0,0.4,0.4,0.07,-0.4,2024-2025,premier-league
william smallbone,Southampton,7,1,0.14,0.6,0.6,0.08,0.4,2024-2025,premier-league
adam smith,Bournemouth,3,0,0.0,0.7,0.7,0.22,-0.7,2024-2025,premier-league
emile smith rowe,Fulham,37,11,0.16,4.5,4.5,0.12,1.5,2024-2025,premier-league
dominic solanke,Tottenham,59,24,0.14,10.9,10.1,0.17,-1.9,2024-2025,premier-league
carlos soler,West Ham,25,8,0.04,1.8,1.8,0.07,-0.8,2024-2025,premier-league
julio soler,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
ramon sosa,Nott'ham Forest,11,5,0.09,1.0,1.0,0.09,0.0,2024-2025,premier-league
tomas soucek,West Ham,55,17,0.16,6.7,6.7,0.13,2.3,2024-2025,premier-league
boubakary soumare,Leicester City,7,0,0.0,0.3,0.3,0.04,-0.3,2024-2025,premier-league
djed spence,Tottenham,10,3,0.1,0.6,0.6,0.06,0.4,2024-2025,premier-league
jay stansfield,Fulham,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jason steele,Brighton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jack stephens,Southampton,4,2,0.25,0.6,0.6,0.14,0.4,2024-2025,premier-league
raheem sterling,Arsenal,11,0,0.0,1.4,1.4,0.13,-1.4,2024-2025,premier-league
ross stewart,Southampton,9,2,0.11,1.1,1.1,0.12,-0.1,2024-2025,premier-league
jakub stolarczyk,Leicester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
john stones,Manchester City,2,2,1.0,0.4,0.4,0.22,1.6,2024-2025,premier-league
jrgen strand larsen,Wolves,54,33,0.26,10.3,10.3,0.19,3.7,2024-2025,premier-league
yukinari sugawara,Southampton,14,5,0.07,0.5,0.5,0.03,0.5,2024-2025,premier-league
kamaldeen sulemana,Southampton,29,8,0.03,1.5,1.5,0.05,-0.5,2024-2025,premier-league
crysencio summerville,West Ham,14,4,0.07,1.6,1.6,0.12,-0.6,2024-2025,premier-league
sammie szmodics,Ipswich Town,21,12,0.19,3.4,3.4,0.16,0.6,2024-2025,premier-league
dominik szoboszlai,Liverpool,67,22,0.09,7.3,7.3,0.11,-1.3,2024-2025,premier-league
matt targett,Newcastle Utd,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
