Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
dimitri foulquier,Valencia,29,13,6,66.7,24,31,16,21,5,16,86,1,2024-2025,laliga
juan foyth,Villarreal,15,6,4,68.8,11,15,19,26,17,9,119,3,2024-2025,laliga
fran,Real Madrid,0,0,0,,0,0,0,0,0,0,2,0,2024-2025,laliga
alejandro frances,Girona,22,13,1,70.0,28,24,17,17,8,9,52,0,2024-2025,laliga
enric franquesa,Leganés,9,6,2,69.2,9,9,5,7,1,6,12,0,2024-2025,laliga
jorge de frutos,Rayo Vallecano,16,13,8,30.4,14,21,19,22,0,22,24,1,2024-2025,laliga
dario fuentes,Sevilla,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
manuel fuster,Las Palmas,5,8,6,53.6,15,11,4,13,3,10,17,0,2024-2025,laliga
javi galan,Atlético Madrid,31,15,5,51.0,25,31,12,13,3,10,47,0,2024-2025,laliga
inigo ruiz de galarreta,Athletic Club,11,17,8,64.5,20,22,16,11,4,7,14,2,2024-2025,laliga
conor gallagher,Atlético Madrid,16,19,10,44.9,22,32,20,23,5,18,23,0,2024-2025,laliga
facundo garces,Alavés,4,2,0,60.0,3,2,5,8,6,2,51,0,2024-2025,laliga
alvaro garcia,Rayo Vallecano,19,8,6,38.7,12,24,32,31,0,31,42,1,2024-2025,laliga
eric garcia,Barcelona,11,24,3,69.0,20,21,14,24,8,16,41,0,2024-2025,laliga
fran garcia,Real Madrid,29,16,6,54.9,28,36,28,27,5,22,67,1,2024-2025,laliga
gonzalo garcia,Real Madrid,0,0,0,,0,0,0,1,0,1,0,0,2024-2025,laliga
joan garcia,Espanyol,0,0,0,0.0,0,0,0,1,0,1,18,4,2024-2025,laliga
pablo garcia,Betis,0,0,0,,0,0,0,1,0,1,0,0,2024-2025,laliga
ruben garcia,Osasuna,20,21,11,43.3,26,31,15,37,3,34,34,1,2024-2025,laliga
unai garcia,Osasuna,0,0,0,,0,0,0,1,0,1,1,0,2024-2025,laliga
yarek gasiorowski,Valencia,16,3,0,69.2,9,16,26,17,6,11,60,0,2024-2025,laliga
gavi,Barcelona,10,15,5,57.7,15,21,10,14,1,13,7,0,2024-2025,laliga
paulo gazzaniga,Girona,1,0,0,100.0,1,1,0,1,0,1,17,3,2024-2025,laliga
bryan gil,Girona,10,15,9,46.7,14,20,10,24,0,24,9,4,2024-2025,laliga
dani gomez,Valencia,0,0,3,,0,2,2,1,0,1,4,0,2024-2025,laliga
moi gomez,Osasuna,4,7,2,50.0,4,9,6,5,2,3,7,1,2024-2025,laliga
sergi gomez,Espanyol,7,1,0,66.7,2,5,7,12,8,4,38,0,2024-2025,laliga
sergio gomez,Real Sociedad,30,29,12,53.6,30,39,19,44,3,41,30,2,2024-2025,laliga
unai gomez,Athletic Club,3,7,2,57.1,4,8,2,13,1,12,15,1,2024-2025,laliga
fabio gonzalez,Las Palmas,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,laliga
peter gonzalez,Getafe,2,5,4,66.7,6,6,2,8,0,8,5,0,2024-2025,laliga
urko gonzalez,Espanyol,24,21,1,63.6,28,28,8,27,12,15,39,1,2024-2025,laliga
urko gonzalez,Real Sociedad,0,0,0,,0,0,0,1,1,0,0,0,2024-2025,laliga
andoni gorosabel,Athletic Club,31,9,7,66.7,30,28,18,18,2,16,62,0,2024-2025,laliga
jose gragera,Espanyol,11,14,0,52.9,9,16,5,9,1,8,13,0,2024-2025,laliga
dominik greif,Mallorca,0,0,0,,0,0,0,0,0,0,13,1,2024-2025,laliga
antoine griezmann,Atlético Madrid,13,13,4,24.1,7,17,6,20,1,19,23,1,2024-2025,laliga
florian grillitsch,Valladolid,7,3,1,46.7,7,7,4,12,2,10,5,1,2024-2025,laliga
vicente guaita,Celta Vigo,0,0,0,,0,0,0,0,0,0,21,3,2024-2025,laliga
sergi guardiola,Rayo Vallecano,0,5,0,66.7,2,3,1,1,0,1,2,0,2024-2025,laliga
nemanja gudelj,Sevilla,16,22,4,60.0,21,24,27,27,10,17,94,1,2024-2025,laliga
javier guerra,Valencia,18,21,11,46.4,26,27,20,15,3,12,49,3,2024-2025,laliga
ander guevara,Alavés,19,29,1,41.7,20,30,14,21,5,16,43,1,2024-2025,laliga
pape gueye,Villarreal,23,23,8,69.0,20,26,27,31,13,18,53,2,2024-2025,laliga
hugo guillamon,Valencia,1,9,1,90.0,9,8,5,4,1,3,9,1,2024-2025,laliga
carlos guirao,Betis,1,4,0,66.7,4,3,3,1,1,0,2,0,2024-2025,laliga
arda guler,Real Madrid,11,8,11,40.9,9,16,7,18,0,18,8,0,2024-2025,laliga
