Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
nemanja gudelj,Sevilla,22,18,3,60.6,20,33,34,39,29,10,102,1,2022-2023,laliga
javier guerra,Valencia,7,4,5,45.0,9,13,11,8,1,7,9,0,2022-2023,laliga
ander guevara,Real Sociedad,2,2,1,25.0,1,2,2,6,1,5,3,0,2022-2023,laliga
pape gueye,Sevilla,13,21,3,48.5,16,22,22,21,5,16,10,0,2022-2023,laliga
hugo guillamon,Valencia,10,8,2,33.3,8,12,19,14,2,12,30,2,2022-2023,laliga
gerard gumbau,Elche,17,23,4,35.3,18,25,28,32,8,24,40,0,2022-2023,laliga
gorka guruzeta,Athletic Club,6,12,6,45.8,11,20,4,23,2,21,8,0,2022-2023,laliga
raul guti,Elche,8,9,1,44.4,8,12,8,10,3,7,6,0,2022-2023,laliga
miguel gutierrez,Girona,23,13,5,62.2,23,23,18,23,5,18,42,1,2022-2023,laliga
munir el haddadi,Getafe,3,7,2,20.0,2,7,9,23,2,21,7,0,2022-2023,laliga
dennis hadzikadunic,Mallorca,4,5,0,100.0,4,6,3,5,4,1,27,0,2022-2023,laliga
haissem hassan,Villarreal,0,0,0,0.0,0,0,1,0,0,0,0,0,2022-2023,laliga
eden hazard,Real Madrid,0,0,0,0.0,0,0,1,1,0,1,0,0,2022-2023,laliga
luiz henrique,Betis,27,15,6,45.5,20,34,14,22,0,22,17,0,2022-2023,laliga
mario hermoso,Atlético Madrid,14,6,2,30.0,9,15,19,19,9,10,85,1,2022-2023,laliga
javi hernandez,Girona,12,7,2,61.9,13,12,7,10,5,5,38,0,2022-2023,laliga
aridane hernandez,Osasuna,17,4,0,48.0,12,15,28,34,21,13,96,1,2022-2023,laliga
luis hernandez,Cádiz,25,7,1,61.1,22,21,31,31,24,7,145,0,2022-2023,laliga
mario hernandez,Rayo Vallecano,2,1,0,42.9,3,2,2,2,0,2,0,0,2022-2023,laliga
jorge herrando,Osasuna,0,0,0,,0,0,0,1,0,1,3,0,2022-2023,laliga
ander herrera,Athletic Club,8,7,3,33.3,6,10,11,12,3,9,12,0,2022-2023,laliga
sergio herrera,Osasuna,2,0,0,100.0,2,0,1,1,0,1,6,2,2022-2023,laliga
yangel herrera,Girona,9,14,3,40.0,6,9,4,14,1,13,12,0,2022-2023,laliga
omar el hilali,Espanyol,3,0,0,50.0,1,2,1,1,0,1,6,0,2022-2023,laliga
martin hongla,Valladolid,13,5,0,52.4,11,13,8,15,12,3,46,1,2022-2023,laliga
pablo ibanez,Osasuna,7,17,5,34.3,12,13,8,19,2,17,24,0,2022-2023,laliga
iglesias,Getafe,40,18,3,50.8,33,35,21,40,5,35,91,1,2022-2023,laliga
borja iglesias,Betis,3,3,2,15.4,2,4,1,9,1,8,17,0,2022-2023,laliga
asier illarramendi,Real Sociedad,10,22,4,36.4,16,18,18,27,8,19,20,0,2022-2023,laliga
alexander isak,Real Sociedad,0,0,1,,0,1,0,0,0,0,2,0,2022-2023,laliga
isco,Sevilla,6,5,4,57.1,8,9,10,3,0,3,3,0,2022-2023,laliga
diego iturralde,Sevilla,1,0,0,0.0,0,0,0,0,0,0,1,0,2022-2023,laliga
nicolas jackson,Villarreal,2,10,2,25.0,2,11,2,18,2,16,4,0,2022-2023,laliga
adnan januzaj,Sevilla,0,0,0,0.0,0,0,1,0,0,0,0,0,2022-2023,laliga
luis javier suarez,Almería,5,6,6,23.1,6,11,3,13,3,10,10,0,2022-2023,laliga
