nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
sydney van hooijdonk,bologna,FW,2000,9,2,212,0,0,0,0,1,2,9,2023-2024,serie-a
dean huijsen,roma,DF,2005,13,4,509,2,0,4,0,4,18,15,2023-2024,serie-a
dean huijsen,juventus,DF,2005,1,0,13,0,0,0,0,0,2,0,2023-2024,serie-a
elseid hysaj,lazio,DF,1994,22,11,1199,0,0,2,0,27,51,41,2023-2024,serie-a
arijon ibrahimovic,frosinone,"FW,DF",2005,16,5,474,1,1,1,0,10,22,54,2023-2024,serie-a
jonathan ikone,fiorentina,FW,1998,28,18,1682,3,1,5,0,51,58,154,2023-2024,serie-a
chukwubuikem ikwuemesi,salernitana,FW,2001,25,11,1061,1,1,2,0,11,10,70,2023-2024,serie-a
ivan ilic,torino,MF,2001,31,25,2098,3,2,3,0,49,138,52,2023-2024,serie-a
samuel ilingjunior,juventus,"DF,MF",2003,24,4,810,1,2,1,0,29,25,64,2023-2024,serie-a
ciro immobile,lazio,FW,1990,31,21,1652,7,1,8,0,19,39,123,2023-2024,serie-a
