"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","Season"
"Ligue 1","France",2024,"Angers SCO","15","Pierrick Capelle","Central Midfield",NA,38,"France","Angers SCO","1.81","left",NA,"Clermont Foot 63",NA,2e+05,"https://www.transfermarkt.com/pierrick-capelle/profil/spieler/214532","2024-2025"
"Ligue 1","France",2024,"Angers SCO","10","Himad Abdelli","Attacking Midfield",NA,25,"Algeria","Angers SCO","1.85","right",NA,"Le Havre AC",NA,7e+06,"https://www.transfermarkt.com/himad-abdelli/profil/spieler/592979","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Amine Moussaoui","Attacking Midfield",NA,18,"France","Angers SCO","1.81","left",NA,"Angers SCO B",NA,NA,"https://www.transfermarkt.com/amine-moussaoui/profil/spieler/1176263","2024-2025"
"Ligue 1","France",2024,"Angers SCO","28","Farid El Melali","Left Winger",NA,27,"Algeria","Without Club","1.68","both",NA,"Paradou AC",NA,3500000,"https://www.transfermarkt.com/farid-el-melali/profil/spieler/425400","2024-2025"
"Ligue 1","France",2024,"Angers SCO","18","Jim Allevinah","Right Winger",NA,30,"Gabon","Angers SCO","1.72","right",NA,"Clermont Foot 63",NA,1500000,"https://www.transfermarkt.com/jim-allevinah/profil/spieler/646733","2024-2025"
"Ligue 1","France",2024,"Angers SCO","20","Zinedine Ferhat","Right Winger",NA,32,"Algeria","Without Club","1.8","right",NA,"Alanyaspor",NA,1e+06,"https://www.transfermarkt.com/zinedine-ferhat/profil/spieler/232895","2024-2025"
"Ligue 1","France",2024,"Angers SCO","17","Justin Kalumba","Right Winger",NA,20,"France","Angers SCO","1.71","left",NA,"Angers SCO B",NA,4e+05,"https://www.transfermarkt.com/justin-kalumba/profil/spieler/1101641","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Willsem Boussaid","Right Winger",NA,19,"France","Without Club",NA,"left",NA,NA,NA,NA,"https://www.transfermarkt.com/willsem-boussaid/profil/spieler/955447","2024-2025"
"Ligue 1","France",2024,"Angers SCO","19","Estéban Lepaul","Centre-Forward",NA,25,"France","Stade Rennais FC","1.81","right",NA,"SAS Epinal",NA,7e+06,"https://www.transfermarkt.com/esteban-lepaul/profil/spieler/461607","2024-2025"
"Ligue 1","France",2024,"Angers SCO","99","Bamba Dieng","Centre-Forward",NA,25,"Senegal","FC Lorient","1.78","right",NA,"FC Lorient",NA,3e+06,"https://www.transfermarkt.com/bamba-dieng/profil/spieler/822458","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Loïs Diony","Centre-Forward",NA,32,"France","Manisa FK","1.83","right",NA,"AS Saint-Étienne",NA,1200000,"https://www.transfermarkt.com/lois-diony/profil/spieler/126552","2024-2025"
"Ligue 1","France",2024,"Angers SCO","7","Ibrahima Niane","Centre-Forward",NA,26,"Senegal","Without Club","1.87","right",NA,"FC Metz",NA,1e+06,"https://www.transfermarkt.com/ibrahima-niane/profil/spieler/490417","2024-2025"
"Ligue 1","France",2024,"Angers SCO","11","Sidiki Chérif","Centre-Forward",NA,18,"France","Angers SCO","1.85","right",NA,"Angers SCO U19",NA,8e+05,"https://www.transfermarkt.com/sidiki-cherif/profil/spieler/986288","2024-2025"
"Ligue 1","France",2024,"Angers SCO","23","Adrien Hunou","Centre-Forward",NA,31,"France","Clermont Foot 63","1.79","right",NA,"Minnesota United FC",NA,4e+05,"https://www.transfermarkt.com/adrien-hunou/profil/spieler/203507","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Prosper Peter","Centre-Forward",NA,17,"France","Angers SCO","1.77"," ",NA,"Angers SCO B",NA,50000,"https://www.transfermarkt.com/prosper-peter/profil/spieler/1103958","2024-2025"
"Ligue 1","France",2024,"Angers SCO","-","Lanroy Machine","Centre-Forward",NA,19,"France","Angers SCO","1.83","right",NA,"Angers SCO B",NA,NA,"https://www.transfermarkt.com/lanroy-machine/profil/spieler/1096744","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","40","Jonas Urbig","Goalkeeper",NA,21,"Germany","Bayern Munich","1.89","both",NA,"1.FC Köln",NA,1.2e+07,"https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","1","Manuel Neuer","Goalkeeper",NA,39,"Germany","Bayern Munich","1.93","right",NA,"FC Schalke 04",NA,4e+06,"https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","18","Daniel Peretz","Goalkeeper",NA,24,"Israel","Hamburger SV","1.9","right",NA,"Maccabi Tel Aviv",NA,3e+06,"https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","-","Max Schmitt","Goalkeeper",NA,19,"Germany","SSV Ulm 1846","1.89","right",NA,NA,NA,7e+05,"https://www.transfermarkt.com/max-schmitt/profil/spieler/937713","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","26","Sven Ulreich","Goalkeeper",NA,36,"Germany","Bayern Munich","1.92","right",NA,"Hamburger SV",NA,5e+05,"https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","-","Anthony Pavlesic","Goalkeeper",NA,19,"Croatia","NK Rudes","1.9","right",NA,NA,NA,150000,"https://www.transfermarkt.com/anthony-pavlesic/profil/spieler/1104725","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","-","Leon Klanac","Goalkeeper",NA,18,"Germany","FC Bayern Munich II","1.85","right",NA,NA,NA,NA,"https://www.transfermarkt.com/leon-klanac/profil/spieler/1009439","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","2","Dayot Upamecano","Centre-Back",NA,26,"France","Bayern Munich","1.86","right",NA,"RB Leipzig",NA,5e+07,"https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","3","Min-jae Kim","Centre-Back",NA,28,"Korea, South","Bayern Munich","1.9","right",NA,"SSC Napoli",NA,4e+07,"https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","4","Jonathan Tah","Centre-Back",NA,29,"Germany","Bayern Munich","1.95","right",NA,"Bayer 04 Leverkusen",NA,3e+07,"https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","21","Hiroki Ito","Centre-Back",NA,26,"Japan","Bayern Munich","1.88","left",NA,"VfB Stuttgart",NA,2.5e+07,"https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","15","Eric Dier","Centre-Back",NA,31,"England","AS Monaco","1.91","right",NA,"Tottenham Hotspur",NA,8e+06,"https://www.transfermarkt.com/eric-dier/profil/spieler/175722","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","28","Tarek Buchmann","Centre-Back",NA,20,"Germany","1.FC Nuremberg","1.88","right",NA,"FC Bayern Munich U19 ",NA,5e+05,"https://www.transfermarkt.com/tarek-buchmann/profil/spieler/744729","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","-","Cassiano Kiala","Centre-Back",NA,16,"Germany","FC Bayern Munich U19 ",NA,"right",NA,NA,NA,NA,"https://www.transfermarkt.com/cassiano-kiala/profil/spieler/1259870","2024-2025"
"Bundesliga","Germany",2024,"Bayern Munich","19","Alphonso Davies","Left-Back",NA,24,"Canada","Bayern Munich","1.83","left",NA,"Vancouver Whitecaps FC",NA,5e+07,"https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204","2024-2025"
