Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
ben white,arsenal,2022-2023,premier-league,Right-Back,3055.0,38.0,36.0,55000000.0,0.3551954208961387,0.0264,0.3287954208961387,Right-Back
adam marusic,lazio,2022-2023,serie-a,Right-Back,2760.0,33.0,31.0,8000000.0,0.2683280839298495,0.032100000000000004,0.2362280839298495,Right-Back
marius wolf,dortmund,2022-2023,bundesliga,Right-Back,1570.0,25.0,17.0,10000000.0,0.33479905226760015,0.0425,0.29229905226760017,Right-Back
davide faraoni,hellas verona,2023-2024,serie-a,Right-Back,602.0,11.0,7.0,1500000.0,0.2668420538523764,0.0658,0.20104205385237642,Right-Back
lucas vazquez,real madrid,2023-2024,laliga,Right-Back,1419.0,29.0,14.0,4000000.0,0.39387959131135086,0.0444,0.34947959131135087,Right-Back
kyle walker,manchester city,2023-2024,premier-league,Right-Back,2767.0,32.0,30.0,13000000.0,0.3703934888960105,0.0273,0.3430934888960105,Right-Back
dani carvajal,real madrid,2023-2024,laliga,Right-Back,2171.0,28.0,25.0,12000000.0,0.3367797044538622,0.0524,0.2843797044538622,Right-Back
giovanni di lorenzo,napoli,2023-2024,serie-a,Right-Back,3234.0,36.0,36.0,15000000.0,0.4410917831291481,0.0335,0.4075917831291481,Right-Back
kiliann sildillia,freiburg,2023-2024,bundesliga,Right-Back,1806.0,27.0,20.0,15000000.0,0.35617275142692495,0.0445,0.31167275142692497,Right-Back
serge aurier,nott'ham forest,2023-2024,premier-league,Right-Back,833.0,12.0,10.0,3700000.0,0.2978204351005994,0.0476,0.25022043510059944,Right-Back
hans hateboer,atalanta,2023-2024,serie-a,Right-Back,1113.0,23.0,10.0,3500000.0,0.2448222434985557,0.0378,0.2070222434985557,Right-Back
jeremy toljan,sassuolo,2023-2024,serie-a,Right-Back,2083.0,25.0,24.0,3500000.0,0.24293848102736104,0.0244,0.21853848102736104,Right-Back
dimitri foulquier,valencia,2023-2024,laliga,Right-Back,1842.0,33.0,19.0,2500000.0,0.3032823037826932,0.0509,0.2523823037826932,Right-Back
andrei ratiu,rayo vallecano,2023-2024,laliga,Right-Back,630.0,12.0,6.0,1400000.0,0.26759055289491845,0.0471,0.22049055289491845,Right-Back
nacho vidal,mallorca,2023-2024,laliga,Right-Back,416.0,8.0,5.0,2000000.0,0.23365311956257848,0.0518,0.1818531195625785,Right-Back
josip stanisic,leverkusen,2023-2024,bundesliga,Right-Back,1261.0,20.0,13.0,28000000.0,0.3804896278624401,0.0271,0.3533896278624401,Right-Back
leonidas stergiou,stuttgart,2023-2024,bundesliga,Right-Back,594.0,15.0,6.0,5000000.0,0.24437599673315943,0.0227,0.22167599673315944,Right-Back
jules kounde,barcelona,2023-2024,laliga,Right-Back,2899.0,35.0,32.0,45000000.0,0.41369250207186026,0.0336,0.38009250207186024,Right-Back
allan nyom,getafe,2024-2025,laliga,Right-Back,887.0,20.0,10.0,300000.0,0.1401647838708507,0.05500000000000001,0.0851647838708507,Right-Back
manolis saliakas,st. pauli,2024-2025,bundesliga,Right-Back,2314.0,30.0,26.0,3000000.0,0.20994587132236658,0.0179,0.19204587132236658,Right-Back
kenny tete,fulham,2024-2025,premier-league,Right-Back,1774.0,22.0,21.0,13000000.0,0.22068282040227732,0.0441,0.17658282040227732,Right-Back
kingsley ehizibue,udinese,2024-2025,serie-a,Right-Back,2498.0,33.0,30.0,2400000.0,0.21003540251678757,0.051899999999999995,0.15813540251678757,Right-Back
dimitri foulquier,valencia,2024-2025,laliga,Right-Back,2299.0,32.0,25.0,1500000.0,0.22775467489808843,0.042600000000000006,0.18515467489808843,Right-Back
ben white,arsenal,2024-2025,premier-league,Right-Back,1198.0,17.0,13.0,45000000.0,0.18514251431000042,0.0285,0.15664251431000042,Right-Back
frederic guilbert,lecce,2024-2025,serie-a,Right-Back,2435.0,31.0,31.0,2500000.0,0.24845063228192107,0.0424,0.20605063228192108,Right-Back
ola aina,nott'ham forest,2024-2025,premier-league,Right-Back,2995.0,35.0,35.0,22000000.0,0.26016728706159875,0.043800000000000006,0.21636728706159875,Right-Back
takehiro tomiyasu,arsenal,2024-2025,premier-league,Right-Back,7.0,1.0,0.0,18000000.0,0.14181096054061437,0.0,0.14181096054061437,Right-Back
jon aramburu,real sociedad,2024-2025,laliga,Right-Back,2460.0,35.0,28.0,15000000.0,0.30873429994412216,0.0482,0.26053429994412214,Right-Back
vladimir coufal,west ham,2024-2025,premier-league,Right-Back,1067.0,22.0,11.0,5000000.0,0.1798585335899843,0.058699999999999995,0.1211585335899843,Right-Back
neco williams,nott'ham forest,2024-2025,premier-league,Right-Back,2594.0,35.0,28.0,20000000.0,0.2664812873154883,0.0476,0.2188812873154883,Right-Back
lorenzo de silvestri,bologna,2024-2025,serie-a,Right-Back,1060.0,18.0,13.0,800000.0,0.1392038726240966,0.026099999999999998,0.11310387262409659,Right-Back
rico lewis,manchester city,2024-2025,premier-league,Right-Back,1893.0,28.0,21.0,40000000.0,0.2282614215305032,0.047900000000000005,0.1803614215305032,Right-Back
max aarons,bournemouth,2024-2025,premier-league,Right-Back,86.0,3.0,1.0,6000000.0,0.19041503674631471,0.0105,0.1799150367463147,Right-Back
nicolas hofler,freiburg,2022-2023,bundesliga,Defensive Midfield,2816.0,32.0,32.0,2500000.0,0.2621520199326908,0.051699999999999996,0.21045201993269083,Defensive Midfield
rodrigo bentancur,tottenham,2022-2023,premier-league,Defensive Midfield,1500.0,18.0,17.0,40000000.0,0.2598512168476765,0.062400000000000004,0.19745121684767647,Defensive Midfield
thomas partey,arsenal,2022-2023,premier-league,Defensive Midfield,2483.0,33.0,28.0,35000000.0,0.3750953477629161,0.0466,0.3284953477629161,Defensive Midfield
diadie samassekou,hoffenheim,2022-2023,bundesliga,Defensive Midfield,34.0,2.0,1.0,7000000.0,0.09935576486935682,0.1589,-0.05954423513064319,Defensive Midfield
casemiro,manchester utd,2022-2023,premier-league,Defensive Midfield,2124.0,28.0,24.0,40000000.0,0.35028534592314087,0.0567,0.2935853459231409,Defensive Midfield
angelo stiller,hoffenheim,2022-2023,bundesliga,Defensive Midfield,704.0,20.0,6.0,5000000.0,0.18929564875268268,0.0654,0.12389564875268268,Defensive Midfield
mathias olesen,köln,2022-2023,bundesliga,Defensive Midfield,478.0,14.0,6.0,1200000.0,0.11958786073302057,0.0583,0.06128786073302057,Defensive Midfield
william carvalho,betis,2022-2023,laliga,Defensive Midfield,2438.0,33.0,31.0,14000000.0,0.31945823795256756,0.049800000000000004,0.26965823795256755,Defensive Midfield
marc roca,leeds united,2022-2023,premier-league,Defensive Midfield,2315.0,32.0,29.0,10000000.0,0.2661721870646067,0.057999999999999996,0.20817218706460672,Defensive Midfield
danilo,nott'ham forest,2022-2023,premier-league,Defensive Midfield,976.0,13.0,12.0,28000000.0,0.1437777591488697,0.039599999999999996,0.1041777591488697,Defensive Midfield
casemiro,real madrid,2022-2023,laliga,Defensive Midfield,8.0,1.0,0.0,40000000.0,0.17946530720474616,0.225,-0.04553469279525385,Defensive Midfield
atakan karazor,stuttgart,2022-2023,bundesliga,Defensive Midfield,1962.0,29.0,22.0,4000000.0,0.2674393146127631,0.049600000000000005,0.2178393146127631,Defensive Midfield
dejan ljubicic,köln,2022-2023,bundesliga,Defensive Midfield,1710.0,27.0,20.0,10000000.0,0.16061061735307972,0.0583,0.10231061735307972,Defensive Midfield
joshua kimmich,bayern munich,2023-2024,bundesliga,Defensive Midfield,2176.0,28.0,27.0,50000000.0,0.24565936319838508,0.0328,0.21285936319838508,Defensive Midfield
niklas dorsch,augsburg,2023-2024,bundesliga,Defensive Midfield,1386.0,21.0,16.0,4000000.0,0.11278971060373004,0.0485,0.06428971060373004,Defensive Midfield
dejan ljubicic,köln,2023-2024,bundesliga,Defensive Midfield,2048.0,26.0,24.0,5000000.0,0.11599239877844186,0.05399999999999999,0.06199239877844187,Defensive Midfield
edson alvarez,west ham,2023-2024,premier-league,Defensive Midfield,2377.0,31.0,28.0,35000000.0,0.17282899539503763,0.062299999999999994,0.11052899539503763,Defensive Midfield
david ozoh,crystal palace,2023-2024,premier-league,Defensive Midfield,156.0,9.0,0.0,700000.0,0.06845918267654222,0.0866,-0.018140817323457778,Defensive Midfield
ryan gravenberch,liverpool,2023-2024,premier-league,Defensive Midfield,1121.0,26.0,12.0,35000000.0,0.1100184932353905,0.0738,0.03621849323539049,Defensive Midfield
jens cajuste,napoli,2023-2024,serie-a,Defensive Midfield,1016.0,26.0,11.0,10000000.0,0.1028440010785777,0.0789,0.023944001078577706,Defensive Midfield
mahmut kucuksahin,augsburg,2023-2024,bundesliga,Defensive Midfield,1.0,1.0,0.0,100000.0,0.058948504395592294,0.0,0.058948504395592294,Defensive Midfield
aljoscha kemlein,union berlin,2023-2024,bundesliga,Defensive Midfield,29.0,2.0,0.0,3000000.0,0.02055822869827766,0.0931,-0.07254177130172235,Defensive Midfield
christian gro,werder bremen,2023-2024,bundesliga,Defensive Midfield,797.0,20.0,8.0,300000.0,0.12625864926254665,0.046,0.08025864926254665,Defensive Midfield
boubakary soumare,sevilla,2023-2024,laliga,Defensive Midfield,2286.0,28.0,26.0,14000000.0,0.15883109769227544,0.04990000000000001,0.10893109769227544,Defensive Midfield
filip jagieo,genoa,2023-2024,serie-a,Defensive Midfield,33.0,2.0,0.0,1100000.0,0.08574461410258234,0.109,-0.023255385897417657,Defensive Midfield
mohamed elneny,arsenal,2023-2024,premier-league,Defensive Midfield,28.0,3.0,0.0,3500000.0,0.09609163107781708,0.06420000000000001,0.031891631077817076,Defensive Midfield
adam wharton,crystal palace,2023-2024,premier-league,Defensive Midfield,1297.0,16.0,15.0,30000000.0,0.12074649797543946,0.0451,0.07564649797543946,Defensive Midfield
arthur melo,girona,2024-2025,laliga,Defensive Midfield,941.0,15.0,10.0,5000000.0,0.2593345392578754,0.0528,0.2065345392578754,Defensive Midfield
matteo prati,cagliari,2024-2025,serie-a,Defensive Midfield,570.0,12.0,8.0,6000000.0,0.13973637375369857,0.0381,0.10163637375369858,Defensive Midfield
ryan gravenberch,liverpool,2024-2025,premier-league,Defensive Midfield,3160.0,37.0,37.0,75000000.0,0.3587407462702022,0.05500000000000001,0.3037407462702022,Defensive Midfield
silvi clua,girona,2024-2025,laliga,Defensive Midfield,163.0,4.0,2.0,300000.0,0.22259900171386163,0.0331,0.18949900171386164,Defensive Midfield
manuel ugarte ribeiro,manchester utd,2024-2025,premier-league,Defensive Midfield,1785.0,29.0,22.0,45000000.0,0.28576516713291683,0.0835,0.2022651671329168,Defensive Midfield
james garner,everton,2024-2025,premier-league,Defensive Midfield,1594.0,21.0,17.0,18000000.0,0.24027992382465774,0.038900000000000004,0.20137992382465775,Defensive Midfield
emil bohinen,genoa,2024-2025,serie-a,Defensive Midfield,166.0,3.0,1.0,1500000.0,0.2083743328325372,0.0596,0.14877433283253721,Defensive Midfield
romeo lavia,chelsea,2024-2025,premier-league,Defensive Midfield,797.0,16.0,11.0,40000000.0,0.2023751627241307,0.0563,0.14607516272413068,Defensive Midfield
rani khedira,union berlin,2024-2025,bundesliga,Defensive Midfield,2723.0,32.0,31.0,2500000.0,0.21420757928046832,0.0363,0.17790757928046833,Defensive Midfield
arthur vermeeren,rb leipzig,2024-2025,bundesliga,Defensive Midfield,1572.0,28.0,18.0,22000000.0,0.24810077184759027,0.0548,0.19330077184759026,Defensive Midfield
orel mangala,everton,2024-2025,premier-league,Defensive Midfield,1261.0,19.0,14.0,18000000.0,0.15062985015062277,0.05059999999999999,0.10002985015062278,Defensive Midfield
lucien agoume,sevilla,2024-2025,laliga,Defensive Midfield,2114.0,35.0,24.0,8000000.0,0.32292044825702115,0.0533,0.26962044825702114,Defensive Midfield
urko gonzalez,real sociedad,2024-2025,laliga,Defensive Midfield,45.0,1.0,1.0,5000000.0,0.08781033722998151,0.18,-0.09218966277001849,Defensive Midfield
exequiel palacios,leverkusen,2022-2023,bundesliga,Central Midfield,1654.0,25.0,19.0,22000000.0,0.20357972881336994,0.0556,0.14797972881336996,Central Midfield
javier guerra,valencia,2022-2023,laliga,Central Midfield,605.0,10.0,6.0,2000000.0,0.12201956344568064,0.09079999999999999,0.03121956344568065,Central Midfield
paul seguin,union berlin,2022-2023,bundesliga,Central Midfield,691.0,20.0,4.0,2500000.0,0.1307160271016505,0.0585,0.07221602710165051,Central Midfield
mateo kovacic,chelsea,2022-2023,premier-league,Central Midfield,1707.0,27.0,17.0,38000000.0,0.21403754596315855,0.0632,0.15083754596315854,Central Midfield
amadou haidara,rb leipzig,2022-2023,bundesliga,Central Midfield,1430.0,31.0,15.0,17000000.0,0.14329329017064316,0.0548,0.08849329017064315,Central Midfield
gaetano castrovilli,fiorentina,2022-2023,serie-a,Central Midfield,718.0,15.0,7.0,10000000.0,0.08350348331505804,0.0628,0.020703483315058044,Central Midfield
jonjo shelvey,nott'ham forest,2022-2023,premier-league,Central Midfield,540.0,8.0,6.0,5000000.0,0.09602091912542583,0.0518,0.044220919125425834,Central Midfield
manu bueno,sevilla,2022-2023,laliga,Central Midfield,149.0,2.0,2.0,300000.0,0.06899909048356791,0.012,0.05699909048356791,Central Midfield
aleix garrido,barcelona,2022-2023,laliga,Central Midfield,7.0,1.0,0.0,300000.0,0.1346076257152016,0.0,0.1346076257152016,Central Midfield
olasagasti,real sociedad,2022-2023,laliga,Central Midfield,65.0,3.0,0.0,1000000.0,0.11605326401864482,0.0415,0.07455326401864482,Central Midfield
umut tohumcu,hoffenheim,2022-2023,bundesliga,Central Midfield,271.0,8.0,2.0,1500000.0,0.08233338308006147,0.046400000000000004,0.035933383080061464,Central Midfield
abdou harroui,sassuolo,2022-2023,serie-a,Central Midfield,647.0,23.0,5.0,2700000.0,0.12141648112768282,0.0794,0.04201648112768282,Central Midfield
emirhan ilkhan,torino,2022-2023,serie-a,Central Midfield,87.0,4.0,1.0,4000000.0,0.11750537136262874,0.1447,-0.02719462863737125,Central Midfield
albert sambi lokonga,crystal palace,2022-2023,premier-league,Central Midfield,536.0,9.0,6.0,15000000.0,0.08085694453719654,0.0472,0.03365694453719654,Central Midfield
szymon zurkowski,fiorentina,2022-2023,serie-a,Central Midfield,32.0,2.0,0.0,3500000.0,0.15586842641495774,0.1124,0.04346842641495774,Central Midfield
luka modric,real madrid,2022-2023,laliga,Central Midfield,1744.0,33.0,19.0,10000000.0,0.24890623840866027,0.0572,0.19170623840866027,Central Midfield
jack hinshelwood,brighton,2022-2023,premier-league,Central Midfield,2.0,1.0,0.0,,0.10573156348010114,0.0,0.10573156348010114,Central Midfield
tom cairney,fulham,2022-2023,premier-league,Central Midfield,988.0,33.0,6.0,2000000.0,0.18108023247466237,0.0719,0.10918023247466237,Central Midfield
eniss shabani,mainz 05,2022-2023,bundesliga,Central Midfield,10.0,1.0,0.0,200000.0,0.037596961533693636,0.44999999999999996,-0.4124030384663063,Central Midfield
tommaso pobega,milan,2022-2023,serie-a,Central Midfield,883.0,19.0,9.0,14000000.0,0.11423255035501377,0.0653,0.048932550355013774,Central Midfield
elliot anderson,newcastle utd,2022-2023,premier-league,Central Midfield,410.0,22.0,3.0,8000000.0,0.1531769622596343,0.07700000000000001,0.07617696225963427,Central Midfield
mathias jensen,brentford,2022-2023,premier-league,Central Midfield,2803.0,37.0,37.0,22000000.0,0.22785492765624232,0.05449999999999999,0.17335492765624233,Central Midfield
carney chukwuemeka,chelsea,2023-2024,premier-league,Central Midfield,227.0,9.0,2.0,15000000.0,0.10120446490762255,0.0872,0.014004464907622555,Central Midfield
crespo,rayo vallecano,2023-2024,laliga,Central Midfield,527.0,15.0,4.0,4000000.0,0.11586702740839076,0.1416,-0.02573297259160924,Central Midfield
pedri,barcelona,2023-2024,laliga,Central Midfield,1476.0,24.0,16.0,80000000.0,0.2000503009632869,0.0492,0.15085030096328692,Central Midfield
alexis mac allister,liverpool,2023-2024,premier-league,Central Midfield,2599.0,33.0,31.0,75000000.0,0.25940876357178705,0.06470000000000001,0.19470876357178704,Central Midfield
aleix garcia,girona,2023-2024,laliga,Central Midfield,3199.0,37.0,36.0,25000000.0,0.307029174781926,0.0342,0.272829174781926,Central Midfield
douglas luiz,aston villa,2023-2024,premier-league,Central Midfield,2993.0,35.0,35.0,70000000.0,0.24549244942132978,0.0576,0.18789244942132977,Central Midfield
tomas mendes,alavés,2023-2024,laliga,Central Midfield,6.0,1.0,0.0,200000.0,0.09209016463691704,0.3,-0.20790983536308294,Central Midfield
morten frendrup,genoa,2023-2024,serie-a,Central Midfield,3145.0,37.0,36.0,15000000.0,0.17638649276243618,0.044300000000000006,0.13208649276243617,Central Midfield
philip billing,bournemouth,2023-2024,premier-league,Central Midfield,1398.0,29.0,13.0,22000000.0,0.11955901662528162,0.0661,0.053459016625281616,Central Midfield
nahitan nandez,cagliari,2023-2024,serie-a,Central Midfield,2341.0,33.0,29.0,5000000.0,0.14554452653436914,0.07189999999999999,0.07364452653436915,Central Midfield
luka modric,real madrid,2023-2024,laliga,Central Midfield,1688.0,32.0,18.0,6000000.0,0.24251895373715868,0.04,0.20251895373715867,Central Midfield
marcel sabitzer,dortmund,2023-2024,bundesliga,Central Midfield,1961.0,25.0,23.0,20000000.0,0.1538799333959984,0.0395,0.11437993339599839,Central Midfield
mahmoud dahoud,stuttgart,2023-2024,bundesliga,Central Midfield,227.0,13.0,1.0,6000000.0,0.11345317512051233,0.047599999999999996,0.06585317512051234,Central Midfield
henrikh mkhitaryan,inter,2023-2024,serie-a,Central Midfield,2785.0,36.0,35.0,6000000.0,0.21723379631083092,0.04,0.17723379631083092,Central Midfield
gvidas gineitis,torino,2023-2024,serie-a,Central Midfield,538.0,14.0,4.0,2000000.0,0.09357090563775042,0.0436,0.04997090563775042,Central Midfield
antonio sanchez,mallorca,2023-2024,laliga,Central Midfield,1452.0,29.0,21.0,2500000.0,0.10740366106599233,0.0806,0.02680366106599233,Central Midfield
curtis jones,liverpool,2023-2024,premier-league,Central Midfield,1167.0,23.0,14.0,35000000.0,0.1438102124322313,0.08960000000000001,0.054210212432231286,Central Midfield
bobby clark,liverpool,2023-2024,premier-league,Central Midfield,89.0,5.0,1.0,1000000.0,0.07368140749664458,0.1921,-0.11841859250335542,Central Midfield
nicolo fagioli,juventus,2023-2024,serie-a,Central Midfield,437.0,8.0,4.0,15000000.0,0.10668849764508484,0.049499999999999995,0.057188497645084845,Central Midfield
ivan ilic,torino,2023-2024,serie-a,Central Midfield,2098.0,31.0,25.0,18000000.0,0.18111182796935554,0.0403,0.14081182796935554,Central Midfield
weston mckennie,juventus,2023-2024,serie-a,Central Midfield,2594.0,34.0,29.0,28000000.0,0.17553340003243953,0.04070000000000001,0.13483340003243952,Central Midfield
alessandro deiola,cagliari,2024-2025,serie-a,Central Midfield,1432.0,29.0,16.0,1600000.0,0.1348116552011424,0.0547,0.08011165520114241,Central Midfield
douglas luiz,juventus,2024-2025,serie-a,Central Midfield,529.0,19.0,3.0,30000000.0,0.18159108220735207,0.0714,0.11019108220735206,Central Midfield
jens stage,werder bremen,2024-2025,bundesliga,Central Midfield,2204.0,28.0,26.0,14000000.0,0.21387481572916495,0.051,0.16287481572916496,Central Midfield
yehor yarmoliuk,brentford,2024-2025,premier-league,Central Midfield,1450.0,31.0,15.0,15000000.0,0.20708871328118425,0.065,0.14208871328118425,Central Midfield
fran beltran,celta vigo,2024-2025,laliga,Central Midfield,2421.0,34.0,29.0,8000000.0,0.24137968244852553,0.0484,0.19297968244852554,Central Midfield
oier zarraga,udinese,2024-2025,serie-a,Central Midfield,896.0,22.0,9.0,2000000.0,0.10315508621813815,0.0291,0.07405508621813815,Central Midfield
umut tohumcu,hoffenheim,2024-2025,bundesliga,Central Midfield,375.0,12.0,3.0,6000000.0,0.10770244624851605,0.0768,0.030902446248516055,Central Midfield
lucas da cunha,como,2024-2025,serie-a,Central Midfield,2613.0,36.0,30.0,10000000.0,0.26746557958611944,0.0308,0.23666557958611945,Central Midfield
luca mazzitelli,como,2024-2025,serie-a,Central Midfield,335.0,11.0,3.0,1500000.0,0.13995799725872243,0.0672,0.07275799725872244,Central Midfield
ilkay gundogan,manchester city,2024-2025,premier-league,Central Midfield,2223.0,33.0,25.0,5000000.0,0.27316637122765636,0.0392,0.23396637122765634,Central Midfield
djibril sow,sevilla,2024-2025,laliga,Central Midfield,2062.0,30.0,24.0,7500000.0,0.1828051497073047,0.0421,0.1407051497073047,Central Midfield
nadiem amiri,mainz 05,2024-2025,bundesliga,Central Midfield,2473.0,30.0,30.0,20000000.0,0.32048300575161964,0.0713,0.24918300575161964,Central Midfield
santi comesana,villarreal,2024-2025,laliga,Central Midfield,2560.0,35.0,30.0,8000000.0,0.26779046153736863,0.06580000000000001,0.2019904615373686,Central Midfield
