Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
yanis massolin,Clermont Foot,30,76.9,18,83.3,17,76.5,3,66.7,0.0,0.0,0.0,3,0,0,2022-2023,ligue1
eliot matazo,Monaco,399,80.9,186,83.9,213,85.9,73,74.0,0.1,0.3,-0.1,50,3,0,2022-2023,ligue1
chrislain matsima,Lorient,108,85.0,36,94.4,68,91.2,16,50.0,0.0,0.0,0.0,3,0,0,2022-2023,ligue1
chrislain matsima,Monaco,194,84.3,81,86.4,118,89.0,24,62.5,0.4,0.3,0.6,16,4,0,2022-2023,ligue1
jean matteo bahoya,Angers,69,84.1,45,86.7,28,82.1,4,75.0,0.4,0.1,-0.4,2,1,0,2022-2023,ligue1
azor matusiwa,Reims,1376,85.1,605,84.0,702,90.6,234,82.1,1.2,1.3,-1.2,148,13,0,2022-2023,ligue1
aiman maurer,Clermont Foot,87,69.6,55,83.6,43,81.4,20,25.0,1.5,1.4,-0.5,3,6,1,2022-2023,ligue1
stephy mavididi,Montpellier,236,74.2,164,77.4,82,82.9,24,66.7,1.4,1.0,0.6,11,6,1,2022-2023,ligue1
christian mawissa,Toulouse,41,85.4,29,89.7,15,86.7,1,100.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
fernand mayembo,Ajaccio,275,85.9,102,89.2,160,90.6,53,67.9,0.1,0.0,-0.1,7,0,0,2022-2023,ligue1
derek mazousacko,Troyes,4,80.0,2,100.0,2,50.0,1,100.0,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
kylian mbappe,Paris S-G,1096,80.9,789,85.8,371,80.6,65,64.6,7.4,9.4,-2.4,81,76,10,2022-2023,ligue1
chancel mbemba,Marseille,1441,82.7,597,89.9,853,87.2,211,59.7,0.5,1.3,-0.5,127,23,6,2022-2023,ligue1
jason mbock,Angers,6,60.0,3,100.0,5,40.0,1,100.0,0.3,0.2,-0.3,0,0,0,2022-2023,ligue1
nathanael mbuku,Reims,22,81.5,14,85.7,10,90.0,1,0.0,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
facundo medina,Lens,2260,90.2,1099,95.1,1032,92.3,246,65.9,1.8,1.8,2.2,239,17,8,2022-2023,ligue1
bamo meite,Lorient,838,89.5,360,94.4,449,94.4,85,49.4,0.1,0.1,-0.1,25,1,0,2022-2023,ligue1
farid el melali,Angers,196,69.5,125,76.0,107,74.8,27,55.6,0.2,0.3,-0.2,13,4,1,2022-2023,ligue1
birger meling,Rennes,671,85.3,345,88.1,345,89.0,65,72.3,0.9,1.8,0.1,57,15,4,2022-2023,ligue1
nuno mendes,Paris S-G,793,85.1,500,90.0,303,87.8,43,69.8,2.8,3.6,3.2,56,18,6,2022-2023,ligue1
pedro mendes,Montpellier,1,33.3,2,50.0,0,,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
thiago mendes,Lyon,1445,86.4,619,91.8,709,92.8,263,62.0,0.6,1.8,0.4,156,13,0,2022-2023,ligue1
antoine mendy,Nice,262,80.6,138,90.6,132,84.8,40,45.0,0.4,0.3,0.6,11,7,3,2022-2023,ligue1
arial mendy,Clermont Foot,82,68.3,55,76.4,45,71.1,14,50.0,0.1,0.3,-0.1,7,4,2,2022-2023,ligue1
batista mendy,Angers,1234,86.2,532,88.5,670,90.7,161,69.6,1.2,1.8,-1.2,159,22,2,2022-2023,ligue1
gideon mensah,Auxerre,1126,77.3,635,87.9,558,81.4,193,46.1,2.1,2.1,-2.1,97,20,12,2022-2023,ligue1
quentin merlin,Nantes,857,73.3,409,84.4,495,77.2,221,50.2,3.3,3.3,-1.3,73,23,13,2022-2023,ligue1
lionel messi,Paris S-G,1641,80.0,1034,87.8,597,82.9,235,65.5,13.4,16.2,2.6,223,120,2,2022-2023,ligue1
amine messoussa,Lille,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
arkadiusz milik,Marseille,28,75.7,18,77.8,11,81.8,0,,0.2,0.0,-0.2,2,0,0,2022-2023,ligue1
