Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
pietro terracciano,Fiorentina,70,78.7,18,100.0,40,100.0,30,36.7,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
florian thauvin,Udinese,544,66.4,289,83.0,276,66.3,169,49.7,3.8,4.7,-0.8,58,43,20,2024-2025,serie-a
malick thiaw,Milan,1181,93.1,357,95.2,737,96.1,147,80.3,0.1,0.2,-0.1,87,1,0,2024-2025,serie-a
morten thorsby,Genoa,353,66.6,288,75.3,149,64.4,18,66.7,2.1,1.2,-1.1,45,10,1,2024-2025,serie-a
khephren thuram,Juventus,1228,88.4,719,92.2,522,91.2,83,67.5,3.6,1.8,1.4,124,19,0,2024-2025,serie-a
marcus thuram,Inter,412,73.7,325,76.6,139,79.1,23,65.2,4.4,4.1,-0.4,24,27,4,2024-2025,serie-a
cheikh tidiane niasse,Hellas Verona,192,80.0,111,82.9,90,81.1,22,81.8,0.1,0.3,-0.1,16,2,0,2024-2025,serie-a
rafael toloi,Atalanta,257,87.7,129,93.8,130,93.8,25,48.0,0.2,0.5,-0.2,20,5,0,2024-2025,serie-a
fikayo tomori,Milan,1019,92.4,426,96.0,581,94.3,78,69.2,0.7,0.8,0.3,58,6,3,2024-2025,serie-a
luka topalovic,Inter,5,55.6,3,66.7,4,75.0,1,0.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
lorenzo tosto,Empoli,4,100.0,0,,4,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
souleymane toure,Udinese,474,91.7,210,93.8,240,95.8,57,77.2,0.0,0.2,0.0,34,4,1,2024-2025,serie-a
stefano turati,Monza,764,70.9,159,98.7,364,98.6,547,45.0,0.0,0.0,0.0,10,0,0,2024-2025,serie-a
kacper urbanski,Bologna,106,84.1,60,86.7,46,95.7,10,70.0,0.5,0.3,-0.5,14,5,1,2024-2025,serie-a
kacper urbanski,Monza,215,86.3,110,86.4,96,91.7,30,86.7,0.1,0.3,-0.1,30,2,0,2024-2025,serie-a
lautaro valenti,Parma,701,84.5,234,92.7,438,92.9,139,51.1,0.2,0.2,-0.2,26,3,1,2024-2025,serie-a
nicolas valentini,Hellas Verona,316,67.5,117,84.6,188,84.6,140,39.3,0.8,0.4,-0.8,52,2,0,2024-2025,serie-a
emanuele valeri,Parma,783,65.6,398,82.9,517,67.5,212,39.2,4.7,3.4,1.3,69,31,19,2024-2025,serie-a
alex valle,Como,562,85.0,334,93.7,239,89.1,54,46.3,0.7,0.5,-0.7,51,9,4,2024-2025,serie-a
mattia valoti,Monza,12,63.2,6,83.3,11,54.5,1,100.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
ignace van der brempt,Como,551,81.1,318,91.2,277,81.9,47,46.8,0.5,0.4,0.5,32,6,3,2024-2025,serie-a
devis vasquez,Empoli,667,60.4,88,100.0,342,97.1,672,36.8,0.0,0.1,0.0,29,1,0,2024-2025,serie-a
johan vasquez,Genoa,1491,84.7,515,89.3,955,93.6,235,51.1,0.3,0.4,-0.3,76,6,2,2024-2025,serie-a
matias vecino,Lazio,322,81.1,168,81.5,169,88.8,35,77.1,2.4,2.8,0.6,32,3,0,2024-2025,serie-a
danilo veiga,Lecce,104,64.6,62,80.6,63,73.0,26,23.1,0.3,0.2,-0.3,11,5,3,2024-2025,serie-a
renato veiga,Juventus,500,88.0,159,93.1,323,93.8,80,61.3,0.1,0.2,0.9,35,2,0,2024-2025,serie-a
lorenzo venturino,Genoa,28,50.9,20,55.0,17,76.5,7,28.6,0.2,0.1,-0.2,2,3,1,2024-2025,serie-a
simone verdi,Como,31,51.7,24,66.7,15,66.7,15,33.3,0.5,0.6,-0.5,2,3,3,2024-2025,serie-a
samuele vignato,Monza,126,75.4,91,85.7,51,76.5,13,30.8,0.0,0.2,0.0,9,2,0,2024-2025,serie-a
nicolas viola,Cagliari,285,63.1,178,82.0,134,59.7,101,47.5,1.9,2.6,-0.9,34,11,2,2024-2025,serie-a
mattia viti,Empoli,933,80.2,373,85.5,530,88.5,197,49.2,0.2,0.2,-0.2,71,3,0,2024-2025,serie-a
vitinha,Genoa,191,59.3,142,75.4,98,62.2,38,39.5,3.3,2.0,-0.3,12,10,7,2024-2025,serie-a
dusan vlahovic,Juventus,253,69.1,182,79.1,117,70.1,27,70.4,1.3,0.9,2.7,11,7,0,2024-2025,serie-a
vanja vlahovic,Atalanta,4,66.7,6,66.7,0,,0,,0.1,0.1,-0.1,0,0,0,2024-2025,serie-a
nikola vlasic,Torino,613,79.8,410,86.6,257,80.5,40,65.0,2.4,2.0,1.6,57,24,4,2024-2025,serie-a
alessandro vogliacco,Genoa,266,78.0,110,88.2,152,84.2,64,54.7,0.0,0.2,0.0,35,4,3,2024-2025,serie-a
alessandro vogliacco,Parma,437,91.6,160,96.3,247,95.1,61,70.5,0.1,0.1,-0.1,26,1,0,2024-2025,serie-a
mergim vojvoda,Torino,662,83.6,303,89.1,354,88.7,108,63.9,0.4,0.9,-0.4,47,16,9,2024-2025,serie-a
mergim vojvoda,Como,375,81.5,203,91.6,194,83.5,48,39.6,2.0,0.9,0.0,31,11,4,2024-2025,serie-a
stefan de vrij,Inter,1309,93.3,443,94.8,845,95.6,97,73.2,0.0,0.3,0.0,64,1,0,2024-2025,serie-a
kyle walker,Milan,370,87.7,170,96.5,200,90.5,45,53.3,0.9,0.5,-0.9,26,2,0,2024-2025,serie-a
sebastian walukiewicz,Torino,761,81.1,391,88.7,407,82.6,104,62.5,0.3,0.6,-0.3,74,14,5,2024-2025,serie-a
sebastian walukiewicz,Empoli,48,77.4,26,80.8,21,85.7,11,63.6,0.1,0.0,-0.1,6,1,0,2024-2025,serie-a
timothy weah,Juventus,659,83.7,368,92.9,311,88.4,62,48.4,1.6,1.2,0.4,38,13,6,2024-2025,serie-a
mateusz wieteska,Cagliari,82,86.3,21,90.5,60,93.3,11,54.5,0.2,0.2,-0.2,3,1,0,2024-2025,serie-a
john yeboah,Venezia,258,72.9,200,81.0,83,78.3,26,53.8,1.9,1.5,-0.9,19,12,0,2024-2025,serie-a
kenan yldz,Juventus,896,79.7,579,89.5,377,81.4,113,46.9,5.0,4.8,-1.0,70,52,13,2024-2025,serie-a
mattia zaccagni,Lazio,872,75.8,500,91.2,410,76.1,168,45.2,4.6,4.1,1.4,51,39,6,2024-2025,serie-a
nicola zalewski,Roma,194,73.2,118,86.4,96,74.0,32,50.0,0.8,0.6,-0.8,10,14,7,2024-2025,serie-a
