Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
karol fila,Strasbourg,0,0,3,5,,2022-2023,ligue-1
alexis flips,Reims,23,2,139,159,27.7,2022-2023,ligue-1
seko fofana,Lens,22,3,54,196,59.5,2022-2023,ligue-1
yahia fofana,Angers,0,0,0,16,100.0,2022-2023,ligue-1
youssouf fofana,Monaco,50,2,7,265,54.8,2022-2023,ligue-1
thomas foket,Reims,27,3,57,148,48.0,2022-2023,ligue-1
jose fonte,Lille,26,0,3,138,67.0,2022-2023,ligue-1
steven fortes,Lens,0,0,0,0,50.0,2022-2023,ligue-1
przemysaw frankowski,Lens,35,6,255,158,36.4,2022-2023,ligue-1
angelo fulgini,Lens,11,0,62,48,22.2,2022-2023,ligue-1
gauthier gallon,Troyes,2,0,0,33,100.0,2022-2023,ligue-1
kevin gameiro,Strasbourg,15,4,19,83,30.8,2022-2023,ligue-1
ignatius ganago,Nantes,15,8,22,58,49.2,2022-2023,ligue-1
ignatius ganago,Lens,2,1,0,5,33.3,2022-2023,ligue-1
johan gastien,Clermont Foot,19,0,67,224,50.0,2022-2023,ligue-1
denis genreau,Toulouse,9,3,16,48,23.8,2022-2023,ligue-1
valere germain,Montpellier,10,2,6,19,43.2,2022-2023,ligue-1
gerson,Marseille,16,1,3,20,57.1,2022-2023,ligue-1
ismael gharbi,Paris S-G,3,0,0,3,,2022-2023,ligue-1
faouzi ghoulam,Angers,4,2,38,21,60.0,2022-2023,ligue-1
samuel gigot,Marseille,44,1,1,103,76.7,2022-2023,ligue-1
andrei girotto,Nantes,54,1,9,163,65.0,2022-2023,ligue-1
aleksandr golovin,Monaco,36,6,111,161,40.0,2022-2023,ligue-1
andre gomes,Lille,49,1,11,142,60.0,2022-2023,ligue-1
angel gomes,Lille,54,0,49,139,21.1,2022-2023,ligue-1
maxime gonalons,Clermont Foot,24,0,3,98,62.5,2022-2023,ligue-1
oumar gonzalez,Ajaccio,45,3,3,157,57.8,2022-2023,ligue-1
amine gouiri,Nice,2,0,6,6,60.0,2022-2023,ligue-1
amine gouiri,Rennes,39,8,10,97,37.2,2022-2023,ligue-1
jonathan gradit,Lens,31,0,15,140,51.1,2022-2023,ligue-1
andrew gravillon,Reims,18,0,16,65,52.0,2022-2023,ligue-1
adrian grbic,Lorient,3,0,0,0,0.0,2022-2023,ligue-1
gabriel gudmundsson,Lille,17,3,33,46,63.2,2022-2023,ligue-1
axel gueguin,Montpellier,0,0,1,1,0.0,2022-2023,ligue-1
matteo guendouzi,Marseille,25,1,24,147,44.2,2022-2023,ligue-1
evann guessand,Nantes,31,6,31,72,50.9,2022-2023,ligue-1
pape gueye,Marseille,10,1,3,42,68.8,2022-2023,ligue-1
frederic guilbert,Strasbourg,28,0,55,109,54.9,2022-2023,ligue-1
serhou guirassy,Rennes,0,0,0,1,,2022-2023,ligue-1
rafik guitane,Reims,1,0,0,1,,2022-2023,ligue-1
malo gusto,Lyon,20,2,116,139,34.8,2022-2023,ligue-1
jaouen hadjam,Nantes,10,0,28,56,36.8,2022-2023,ligue-1
massadio haidara,Lens,19,4,26,88,71.7,2022-2023,ligue-1
achraf hakimi,Paris S-G,29,5,42,129,50.0,2022-2023,ligue-1
mathis hamdi,Troyes,1,0,2,1,0.0,2022-2023,ligue-1
ben hamed toure,Ajaccio,7,0,0,5,11.8,2022-2023,ligue-1
romain hamouma,Ajaccio,18,4,54,33,40.0,2022-2023,ligue-1
said hamulic,Toulouse,2,1,1,3,0.0,2022-2023,ligue-1
amine harit,Marseille,2,2,16,27,7.7,2022-2023,ligue-1
rhys healey,Toulouse,0,0,0,3,100.0,2022-2023,ligue-1
gauthier hein,Auxerre,21,2,99,89,8.8,2022-2023,ligue-1
henrique,Lyon,5,1,4,15,66.7,2022-2023,ligue-1
christophe herelle,Brest,13,0,2,58,52.4,2022-2023,ligue-1
noah holm,Reims,6,1,0,12,25.0,2022-2023,ligue-1
franck honorat,Brest,23,9,214,134,26.5,2022-2023,ligue-1
cedric hountondji,Angers,42,0,2,151,67.0,2022-2023,ligue-1
ilyes housni,Paris S-G,0,0,0,0,,2022-2023,ligue-1
adrien hunou,Angers,14,5,16,108,40.4,2022-2023,ligue-1
mounaim el idrissy,Ajaccio,81,23,20,67,36.5,2022-2023,ligue-1
rares ilie,Nice,0,1,1,9,66.7,2022-2023,ligue-1
