Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
fabien centonze,nantes,Ligue-1,2024-2025,49,62,74,4,184,7,0.28600000000000003,4,0.5710000000000001,275,5,0,4,2
brendan chardonnet,brest,Ligue-1,2024-2025,864,615,46,25,1521,0,,0,,1835,6,1,7,0
jhoanner chavez,lens,Ligue-1,2024-2025,107,145,125,15,373,6,0.5,3,0.5,403,6,3,11,8
theo chennahi,montpellier,Ligue-1,2024-2025,39,36,17,1,91,3,0.0,3,1.0,92,1,0,1,1
sidiki cherif,angers,Ligue-1,2024-2025,7,50,51,12,107,12,0.25,8,0.667,183,5,3,11,9
rayan cherki,lyon,Ligue-1,2024-2025,120,653,826,132,1573,97,0.495,43,0.44299999999999995,3610,91,41,48,43
lucas chevalier,lille,Ligue-1,2024-2025,1144,7,0,0,1150,0,,0,,2320,0,0,0,0
pedro chirivella,nantes,Ligue-1,2024-2025,366,1150,240,3,1740,7,0.429,4,0.5710000000000001,1939,14,1,15,7
joris chotard,montpellier,Ligue-1,2024-2025,296,560,162,9,1012,16,0.5,8,0.5,970,13,0,15,11
djaoui cisse,rennes,Ligue-1,2024-2025,149,436,188,3,755,18,0.722,4,0.222,1292,25,0,14,13
yoann cisse,auxerre,Ligue-1,2024-2025,0,3,5,0,8,0,,0,,2,0,0,1,0
jonathan clauss,nice,Ligue-1,2024-2025,384,638,669,68,1675,28,0.39299999999999996,16,0.5710000000000001,1994,26,9,36,8
marcus coco,nantes,Ligue-1,2024-2025,198,295,119,4,608,10,0.3,7,0.7,583,9,1,11,6
alois confais,le havre,Ligue-1,2024-2025,1,1,0,0,2,0,,0,,0,0,0,0,0
francis coquelin,nantes,Ligue-1,2024-2025,23,75,30,6,128,1,1.0,0,0.0,95,2,1,3,2
derek cornelius,marseille,Ligue-1,2024-2025,532,883,81,14,1493,2,0.0,2,1.0,2384,13,0,8,2
pierre cornud,saintetienne,Ligue-1,2024-2025,171,154,78,0,397,7,0.28600000000000003,5,0.7140000000000001,459,8,0,4,2
david costa,lens,Ligue-1,2024-2025,17,86,100,15,200,9,0.222,7,0.778,500,12,4,11,5
logan costa,toulouse,Ligue-1,2024-2025,34,33,3,0,69,0,,0,,115,0,0,0,1
gregoire coudert,brest,Ligue-1,2024-2025,74,0,0,0,74,0,,0,,211,0,0,0,0
lasso coulibaly,auxerre,Ligue-1,2024-2025,3,6,13,3,21,3,0.33299999999999996,2,0.667,22,0,1,1,0
mamadou coulibaly,monaco,Ligue-1,2024-2025,1,5,3,0,9,2,0.5,0,0.0,10,0,0,1,0
soumaila coulibaly,brest,Ligue-1,2024-2025,211,150,10,5,370,2,0.0,2,1.0,471,2,0,3,0
tanguy coulibaly,montpellier,Ligue-1,2024-2025,95,228,272,65,583,54,0.537,20,0.37,1195,26,20,51,31
marius courcoul,angers,Ligue-1,2024-2025,59,100,34,1,191,5,0.2,4,0.8,191,1,0,4,0
nicolas cozza,nantes,Ligue-1,2024-2025,373,424,257,30,1044,20,0.25,14,0.7,921,10,1,30,6
charlie cresswell,toulouse,Ligue-1,2024-2025,1044,801,89,56,1920,11,0.273,7,0.636,1800,7,1,20,3
kevin danois,auxerre,Ligue-1,2024-2025,197,470,256,37,912,41,0.512,19,0.46299999999999997,1230,19,5,25,24
kevin danso,lens,Ligue-1,2024-2025,417,474,62,17,946,6,0.16699999999999998,3,0.5,1602,17,0,12,6
dante,nice,Ligue-1,2024-2025,795,785,81,19,1651,15,0.4,7,0.467,2469,10,1,16,5
pape daouda diongue,strasbourg,Ligue-1,2024-2025,18,44,16,5,78,4,0.0,4,1.0,71,2,0,3,1
mohamed daramy,reims,Ligue-1,2024-2025,1,4,3,3,8,0,,0,,45,0,3,2,1
