Player,Liga,Season,Pos,Squad,Height,Value
leon klanac,Bundesliga,2024-2025,Goalkeeper,bayern munich,1.85,
dayot upamecano,Bundesliga,2024-2025,Centre-Back,bayern munich,1.86,50000000.0
minjae kim,Bundesliga,2024-2025,Centre-Back,bayern munich,1.9,40000000.0
jonathan tah,Bundesliga,2024-2025,Centre-Back,bayern munich,1.95,30000000.0
hiroki ito,Bundesliga,2024-2025,Centre-Back,bayern munich,1.88,25000000.0
eric dier,Bundesliga,2024-2025,Centre-Back,bayern munich,1.91,8000000.0
tarek buchmann,Bundesliga,2024-2025,Centre-Back,bayern munich,1.88,500000.0
cassiano kiala,Bundesliga,2024-2025,Centre-Back,bayern munich,,
alphonso davies,Bundesliga,2024-2025,Left-Back,bayern munich,1.83,50000000.0
raphael guerreiro,Bundesliga,2024-2025,Left-Back,bayern munich,1.7,8000000.0
adam aznou,Bundesliga,2024-2025,Left-Back,bayern munich,1.78,4000000.0
josip stanisic,Bundesliga,2024-2025,Right-Back,bayern munich,1.87,32000000.0
konrad laimer,Bundesliga,2024-2025,Right-Back,bayern munich,1.8,25000000.0
sacha boey,Bundesliga,2024-2025,Right-Back,bayern munich,1.78,18000000.0
aleksandar pavlovic,Bundesliga,2024-2025,Defensive Midfield,bayern munich,1.88,55000000.0
joshua kimmich,Bundesliga,2024-2025,Defensive Midfield,bayern munich,1.77,45000000.0
joao palhinha,Bundesliga,2024-2025,Defensive Midfield,bayern munich,1.9,30000000.0
noel aseko,Bundesliga,2024-2025,Defensive Midfield,bayern munich,1.78,700000.0
david santos daiber,Bundesliga,2024-2025,Defensive Midfield,bayern munich,,
tom bischof,Bundesliga,2024-2025,Central Midfield,bayern munich,1.76,30000000.0
leon goretzka,Bundesliga,2024-2025,Central Midfield,bayern munich,1.89,22000000.0
jamal musiala,Bundesliga,2024-2025,Attacking Midfield,bayern munich,1.84,140000000.0
arijon ibrahimovic,Bundesliga,2024-2025,Attacking Midfield,bayern munich,1.78,4000000.0
maurice krattenmacher,Bundesliga,2024-2025,Attacking Midfield,bayern munich,1.8,3500000.0
jonathan asp jensen,Bundesliga,2024-2025,Attacking Midfield,bayern munich,1.82,1500000.0
lennart karl,Bundesliga,2024-2025,Attacking Midfield,bayern munich,1.68,1500000.0
kingsley coman,Bundesliga,2024-2025,Left Winger,bayern munich,1.81,30000000.0
serge gnabry,Bundesliga,2024-2025,Left Winger,bayern munich,1.76,22000000.0
wisdom mike,Bundesliga,2024-2025,Left Winger,bayern munich,1.75,
michael olise,Bundesliga,2024-2025,Right Winger,bayern munich,1.84,100000000.0
leroy sane,Bundesliga,2024-2025,Right Winger,bayern munich,1.83,32000000.0
nestory irankunda,Bundesliga,2024-2025,Right Winger,bayern munich,1.75,4000000.0
thomas muller,Bundesliga,2024-2025,Second Striker,bayern munich,1.85,6000000.0
gabriel vidovic,Bundesliga,2024-2025,Second Striker,bayern munich,1.8,3000000.0
harry kane,Bundesliga,2024-2025,Centre-Forward,bayern munich,1.88,75000000.0
mathys tel,Bundesliga,2024-2025,Centre-Forward,bayern munich,1.83,35000000.0
jonah kusiasare,Bundesliga,2024-2025,Centre-Forward,bayern munich,1.96,2500000.0
matej kovar,Bundesliga,2024-2025,Goalkeeper,bayer leverkusen,1.96,5000000.0
lukas hradecky,Bundesliga,2024-2025,Goalkeeper,bayer leverkusen,1.92,2000000.0
niklas lomb,Bundesliga,2024-2025,Goalkeeper,bayer leverkusen,1.86,250000.0
simeon rapsch,Bundesliga,2024-2025,Goalkeeper,bayer leverkusen,1.9,
luca novodomsky,Bundesliga,2024-2025,Goalkeeper,bayer leverkusen,,
piero hincapie,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.84,50000000.0
edmond tapsoba,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.94,35000000.0
jonathan tah,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.95,30000000.0
odilon kossounou,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.91,25000000.0
jeanuel belocian,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.86,15000000.0
mario hermoso,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.84,7000000.0
andrea natali,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.86,
ben hawighorst,Bundesliga,2024-2025,Centre-Back,bayer leverkusen,1.85,
alejandro grimaldo,Bundesliga,2024-2025,Left-Back,bayer leverkusen,1.71,30000000.0
jeremie frimpong,Bundesliga,2024-2025,Right-Back,bayer leverkusen,1.72,50000000.0
nordi mukiele,Bundesliga,2024-2025,Right-Back,bayer leverkusen,1.87,10000000.0
arthur,Bundesliga,2024-2025,Right-Back,bayer leverkusen,1.74,7000000.0
othniel raterink,Bundesliga,2024-2025,Right-Back,bayer leverkusen,1.89,
granit xhaka,Bundesliga,2024-2025,Defensive Midfield,bayer leverkusen,1.86,12000000.0
robert andrich,Bundesliga,2024-2025,Defensive Midfield,bayer leverkusen,1.87,9000000.0
exequiel palacios,Bundesliga,2024-2025,Central Midfield,bayer leverkusen,1.78,40000000.0
aleix garcia,Bundesliga,2024-2025,Central Midfield,bayer leverkusen,1.73,20000000.0
florian wirtz,Bundesliga,2024-2025,Attacking Midfield,bayer leverkusen,1.77,140000000.0
emiliano buendia,Bundesliga,2024-2025,Attacking Midfield,bayer leverkusen,1.72,15000000.0
jonas hofmann,Bundesliga,2024-2025,Attacking Midfield,bayer leverkusen,1.76,2000000.0
francis onyeka,Bundesliga,2024-2025,Attacking Midfield,bayer leverkusen,1.86,500000.0
amine adli,Bundesliga,2024-2025,Left Winger,bayer leverkusen,1.8,18000000.0
martin terrier,Bundesliga,2024-2025,Left Winger,bayer leverkusen,1.84,17000000.0
kerim alajbegovic,Bundesliga,2024-2025,Left Winger,bayer leverkusen,1.85,
nathan tella,Bundesliga,2024-2025,Right Winger,bayer leverkusen,1.73,15000000.0
victor boniface,Bundesliga,2024-2025,Centre-Forward,bayer leverkusen,1.9,40000000.0
patrik schick,Bundesliga,2024-2025,Centre-Forward,bayer leverkusen,1.91,27000000.0
artem stepanov,Bundesliga,2024-2025,Centre-Forward,bayer leverkusen,1.92,800000.0
alejo sarco,Bundesliga,2024-2025,Centre-Forward,bayer leverkusen,1.79,800000.0
maarten vandevoordt,Bundesliga,2024-2025,Goalkeeper,rb leipzig,1.92,8000000.0
peter gulacsi,Bundesliga,2024-2025,Goalkeeper,rb leipzig,1.93,2000000.0
leopold zingerle,Bundesliga,2024-2025,Goalkeeper,rb leipzig,1.82,400000.0
fernando dickes,Bundesliga,2024-2025,Goalkeeper,rb leipzig,1.93,
castello lukeba,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.84,40000000.0
mohamed simakan,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.87,23000000.0
el chadaille bitshiabu,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.96,18000000.0
willi orban,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.86,8000000.0
lukas klostermann,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.89,8000000.0
jonathan norbye,Bundesliga,2024-2025,Centre-Back,rb leipzig,1.94,
david raum,Bundesliga,2024-2025,Left-Back,rb leipzig,1.81,20000000.0
lionel voufack,Bundesliga,2024-2025,Left-Back,rb leipzig,1.8,
lutsharel geertruida,Bundesliga,2024-2025,Right-Back,rb leipzig,1.84,20000000.0
benjamin henrichs,Bundesliga,2024-2025,Right-Back,rb leipzig,1.85,15000000.0
kosta nedeljkovic,Bundesliga,2024-2025,Right-Back,rb leipzig,1.84,10000000.0
ridle baku,Bundesliga,2024-2025,Right-Back,rb leipzig,1.76,9000000.0
leon ko,Bundesliga,2024-2025,Right-Back,rb leipzig,1.89,
arthur vermeeren,Bundesliga,2024-2025,Defensive Midfield,rb leipzig,1.8,22000000.0
nicolas seiwald,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.8,18000000.0
amadou haidara,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.78,16000000.0
xaver schlager,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.74,10000000.0
assan ouedraogo,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.91,7000000.0
kevin kampl,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.78,2500000.0
mika walther,Bundesliga,2024-2025,Central Midfield,rb leipzig,1.82,
xavi simons,Bundesliga,2024-2025,Attacking Midfield,rb leipzig,1.79,70000000.0
christoph baumgartner,Bundesliga,2024-2025,Attacking Midfield,rb leipzig,1.8,12000000.0
viggo gebel,Bundesliga,2024-2025,Attacking Midfield,rb leipzig,1.75,350000.0
nuha jatta,Bundesliga,2024-2025,Attacking Midfield,rb leipzig,1.93,250000.0
faik sakar,Bundesliga,2024-2025,Attacking Midfield,rb leipzig,1.78,200000.0
antonio nusa,Bundesliga,2024-2025,Left Winger,rb leipzig,1.83,28000000.0
eljif elmas,Bundesliga,2024-2025,Left Winger,rb leipzig,1.84,14000000.0
tidiam gomis,Bundesliga,2024-2025,Left Winger,rb leipzig,1.83,3000000.0
benjamin sesko,Bundesliga,2024-2025,Centre-Forward,rb leipzig,1.95,70000000.0
lois openda,Bundesliga,2024-2025,Centre-Forward,rb leipzig,1.77,50000000.0
yussuf poulsen,Bundesliga,2024-2025,Centre-Forward,rb leipzig,1.92,5000000.0
andre silva,Bundesliga,2024-2025,Centre-Forward,rb leipzig,1.86,4000000.0
robert ramsak,Bundesliga,2024-2025,Centre-Forward,rb leipzig,1.85,
gregor kobel,Bundesliga,2024-2025,Goalkeeper,borussia dortmund,1.96,40000000.0
alexander meyer,Bundesliga,2024-2025,Goalkeeper,borussia dortmund,1.95,800000.0
marcel lotka,Bundesliga,2024-2025,Goalkeeper,borussia dortmund,1.91,800000.0
silas ostrzinski,Bundesliga,2024-2025,Goalkeeper,borussia dortmund,1.98,200000.0
robin lisewski,Bundesliga,2024-2025,Goalkeeper,borussia dortmund,1.95,
nico schlotterbeck,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.91,40000000.0
waldemar anton,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.89,18000000.0
niklas sule,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.95,8000000.0
soumaila coulibaly,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.91,8000000.0
emre can,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.86,7000000.0
yannik luhrs,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.9,600000.0
filippo mane,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.88,600000.0
david lelle,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.9,200000.0
elias benkara,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.93,
tyler meiser,Bundesliga,2024-2025,Centre-Back,borussia dortmund,1.89,
daniel svensson,Bundesliga,2024-2025,Left-Back,borussia dortmund,1.83,12000000.0
ramy bensebaini,Bundesliga,2024-2025,Left-Back,borussia dortmund,1.87,7000000.0
almugera kabar,Bundesliga,2024-2025,Left-Back,borussia dortmund,1.86,1000000.0
yan couto,Bundesliga,2024-2025,Right-Back,borussia dortmund,1.68,20000000.0
julian ryerson,Bundesliga,2024-2025,Right-Back,borussia dortmund,1.83,20000000.0
niklas jessen,Bundesliga,2024-2025,Right-Back,borussia dortmund,1.82,225000.0
salih ozcan,Bundesliga,2024-2025,Defensive Midfield,borussia dortmund,1.83,4000000.0
ayman azhil,Bundesliga,2024-2025,Defensive Midfield,borussia dortmund,1.75,700000.0
felix nmecha,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.9,28000000.0
jobe bellingham,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.91,22000000.0
carney chukwuemeka,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.88,18000000.0
marcel sabitzer,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.78,8000000.0
pascal gro,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.81,5000000.0
kjell watjen,Bundesliga,2024-2025,Central Midfield,borussia dortmund,1.84,2500000.0
julian brandt,Bundesliga,2024-2025,Attacking Midfield,borussia dortmund,1.85,25000000.0
giovanni reyna,Bundesliga,2024-2025,Attacking Midfield,borussia dortmund,1.85,7000000.0
jamie gittens,Bundesliga,2024-2025,Left Winger,borussia dortmund,1.78,50000000.0
julien duranville,Bundesliga,2024-2025,Left Winger,borussia dortmund,1.73,8500000.0
rodney elongoyombo,Bundesliga,2024-2025,Left Winger,borussia dortmund,1.84,400000.0
mathis albert,Bundesliga,2024-2025,Left Winger,borussia dortmund,1.75,
karim adeyemi,Bundesliga,2024-2025,Right Winger,borussia dortmund,1.8,45000000.0
donyell malen,Bundesliga,2024-2025,Right Winger,borussia dortmund,1.76,25000000.0
cole campbell,Bundesliga,2024-2025,Right Winger,borussia dortmund,1.7,1500000.0
samuele inacio,Bundesliga,2024-2025,Second Striker,borussia dortmund,,
serhou guirassy,Bundesliga,2024-2025,Centre-Forward,borussia dortmund,1.87,45000000.0
maximilian beier,Bundesliga,2024-2025,Centre-Forward,borussia dortmund,1.85,25000000.0
sebastien haller,Bundesliga,2024-2025,Centre-Forward,borussia dortmund,1.9,3000000.0
jordi paulina,Bundesliga,2024-2025,Centre-Forward,borussia dortmund,1.91,250000.0
kevin trapp,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.89,2500000.0
kaua santos,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.97,2500000.0
nils ramming,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.94,300000.0
jens grahl,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.92,200000.0
yurij obert,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.9,50000.0
amil siljevic,Bundesliga,2024-2025,Goalkeeper,eintracht frankfurt,1.9,
arthur theate,Bundesliga,2024-2025,Centre-Back,eintracht frankfurt,1.85,24000000.0
robin koch,Bundesliga,2024-2025,Centre-Back,eintracht frankfurt,1.92,18000000.0
tuta,Bundesliga,2024-2025,Centre-Back,eintracht frankfurt,1.85,15000000.0
nnamdi collins,Bundesliga,2024-2025,Centre-Back,eintracht frankfurt,1.91,10000000.0
aurele amenda,Bundesliga,2024-2025,Centre-Back,eintracht frankfurt,1.97,7500000.0
nathaniel brown,Bundesliga,2024-2025,Left-Back,eintracht frankfurt,1.8,22000000.0
niels nkounkou,Bundesliga,2024-2025,Left-Back,eintracht frankfurt,1.8,3500000.0
rasmus kristensen,Bundesliga,2024-2025,Right-Back,eintracht frankfurt,1.87,14000000.0
timothy chandler,Bundesliga,2024-2025,Right-Back,eintracht frankfurt,1.87,350000.0
ellyes skhiri,Bundesliga,2024-2025,Defensive Midfield,eintracht frankfurt,1.85,7500000.0
eba bekir is,Bundesliga,2024-2025,Defensive Midfield,eintracht frankfurt,1.79,500000.0
noah fenyo,Bundesliga,2024-2025,Defensive Midfield,eintracht frankfurt,1.82,350000.0
hugo larsson,Bundesliga,2024-2025,Central Midfield,eintracht frankfurt,1.87,40000000.0
oscar hjlund,Bundesliga,2024-2025,Central Midfield,eintracht frankfurt,1.87,7500000.0
mahmoud dahoud,Bundesliga,2024-2025,Central Midfield,eintracht frankfurt,1.78,3500000.0
junior dina ebimbe,Bundesliga,2024-2025,Right Midfield,eintracht frankfurt,1.84,6000000.0
can uzun,Bundesliga,2024-2025,Attacking Midfield,eintracht frankfurt,1.86,18000000.0
fares chaibi,Bundesliga,2024-2025,Attacking Midfield,eintracht frankfurt,1.83,9000000.0
mario gotze,Bundesliga,2024-2025,Attacking Midfield,eintracht frankfurt,1.76,4000000.0
krisztian lisztes,Bundesliga,2024-2025,Attacking Midfield,eintracht frankfurt,1.83,2000000.0
jeanmatteo bahoya,Bundesliga,2024-2025,Left Winger,eintracht frankfurt,1.8,17000000.0
ansgar knauff,Bundesliga,2024-2025,Right Winger,eintracht frankfurt,1.8,15000000.0
omar marmoush,Bundesliga,2024-2025,Centre-Forward,eintracht frankfurt,1.83,75000000.0
hugo ekitike,Bundesliga,2024-2025,Centre-Forward,eintracht frankfurt,1.9,75000000.0
elye wahi,Bundesliga,2024-2025,Centre-Forward,eintracht frankfurt,1.84,22000000.0
igor matanovic,Bundesliga,2024-2025,Centre-Forward,eintracht frankfurt,1.94,5000000.0
michy batshuayi,Bundesliga,2024-2025,Centre-Forward,eintracht frankfurt,1.85,4000000.0
alexander nubel,Bundesliga,2024-2025,Goalkeeper,vfb stuttgart,1.93,12000000.0
dennis seimen,Bundesliga,2024-2025,Goalkeeper,vfb stuttgart,1.92,2500000.0
fabian bredlow,Bundesliga,2024-2025,Goalkeeper,vfb stuttgart,1.9,800000.0
stefan drljaca,Bundesliga,2024-2025,Goalkeeper,vfb stuttgart,1.92,325000.0
finn jeltsch,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.88,20000000.0
jeff chabot,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.95,12000000.0
anthony rouault,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.86,10000000.0
ameen aldakhil,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.87,7500000.0
luca jaquez,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.87,6000000.0
ramon hendriks,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.89,5000000.0
anrie chase,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.88,3000000.0
danaxel zagadou,Bundesliga,2024-2025,Centre-Back,vfb stuttgart,1.96,2000000.0
maximilian mittelstadt,Bundesliga,2024-2025,Left-Back,vfb stuttgart,1.8,20000000.0
frans kratzig,Bundesliga,2024-2025,Left-Back,vfb stuttgart,1.77,3500000.0
josha vagnoman,Bundesliga,2024-2025,Right-Back,vfb stuttgart,1.9,10000000.0
leonidas stergiou,Bundesliga,2024-2025,Right-Back,vfb stuttgart,1.81,5000000.0
pascal stenzel,Bundesliga,2024-2025,Right-Back,vfb stuttgart,1.83,2000000.0
christopher olivier,Bundesliga,2024-2025,Right-Back,vfb stuttgart,1.87,500000.0
angelo stiller,Bundesliga,2024-2025,Defensive Midfield,vfb stuttgart,1.83,45000000.0
atakan karazor,Bundesliga,2024-2025,Defensive Midfield,vfb stuttgart,1.91,12000000.0
yannik keitel,Bundesliga,2024-2025,Defensive Midfield,vfb stuttgart,1.86,3500000.0
nikolas nartey,Bundesliga,2024-2025,Central Midfield,vfb stuttgart,1.86,400000.0
enzo millot,Bundesliga,2024-2025,Attacking Midfield,vfb stuttgart,1.75,35000000.0
fabian rieder,Bundesliga,2024-2025,Attacking Midfield,vfb stuttgart,1.79,6000000.0
chris fuhrich,Bundesliga,2024-2025,Left Winger,vfb stuttgart,1.81,15000000.0
jacob bruun larsen,Bundesliga,2024-2025,Left Winger,vfb stuttgart,1.83,5000000.0
justin diehl,Bundesliga,2024-2025,Left Winger,vfb stuttgart,1.74,3000000.0
jarzinho malanga,Bundesliga,2024-2025,Left Winger,vfb stuttgart,1.79,1700000.0
benjamin boakye,Bundesliga,2024-2025,Left Winger,vfb stuttgart,1.8,500000.0
jamie leweling,Bundesliga,2024-2025,Right Winger,vfb stuttgart,1.85,20000000.0
silas,Bundesliga,2024-2025,Right Winger,vfb stuttgart,1.89,7000000.0
luca raimund,Bundesliga,2024-2025,Right Winger,vfb stuttgart,1.88,400000.0
nick woltemade,Bundesliga,2024-2025,Second Striker,vfb stuttgart,1.98,30000000.0
ermedin demirovic,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.85,22000000.0
deniz undav,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.79,20000000.0
el bilal toure,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.85,15000000.0
wahid faghir,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.86,700000.0
eliot bujupi,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.88,500000.0
thomas kastanaras,Bundesliga,2024-2025,Centre-Forward,vfb stuttgart,1.86,400000.0
kamil grabara,Bundesliga,2024-2025,Goalkeeper,vfl wolfsburg,1.95,14000000.0
marius muller,Bundesliga,2024-2025,Goalkeeper,vfl wolfsburg,1.92,1500000.0
pavao pervan,Bundesliga,2024-2025,Goalkeeper,vfl wolfsburg,1.94,300000.0
niklas klinger,Bundesliga,2024-2025,Goalkeeper,vfl wolfsburg,1.87,100000.0
maxence lacroix,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.9,25000000.0
konstantinos koulierakis,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.88,25000000.0
cedric zesiger,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.94,7000000.0
denis vavro,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.89,7000000.0
sebastiaan bornauw,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.91,6000000.0
moritz jenz,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.9,5000000.0
david odogu,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.91,1500000.0
mathys angely,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,1.9,600000.0
till neininger,Bundesliga,2024-2025,Centre-Back,vfl wolfsburg,,
joakim mhle,Bundesliga,2024-2025,Left-Back,vfl wolfsburg,1.85,14000000.0
nicolas cozza,Bundesliga,2024-2025,Left-Back,vfl wolfsburg,1.78,3500000.0
rogerio,Bundesliga,2024-2025,Left-Back,vfl wolfsburg,1.78,2500000.0
ridle baku,Bundesliga,2024-2025,Right-Back,vfl wolfsburg,1.76,9000000.0
kilian fischer,Bundesliga,2024-2025,Right-Back,vfl wolfsburg,1.82,6000000.0
mads roerslev,Bundesliga,2024-2025,Right-Back,vfl wolfsburg,1.84,6000000.0
jan burger,Bundesliga,2024-2025,Right-Back,vfl wolfsburg,1.8,
salih ozcan,Bundesliga,2024-2025,Defensive Midfield,vfl wolfsburg,1.83,4000000.0
mattias svanberg,Bundesliga,2024-2025,Central Midfield,vfl wolfsburg,1.85,12000000.0
aster vranckx,Bundesliga,2024-2025,Central Midfield,vfl wolfsburg,1.83,7000000.0
maximilian arnold,Bundesliga,2024-2025,Central Midfield,vfl wolfsburg,1.84,5000000.0
yannick gerhardt,Bundesliga,2024-2025,Central Midfield,vfl wolfsburg,1.84,2500000.0
kevin paredes,Bundesliga,2024-2025,Left Midfield,vfl wolfsburg,1.75,7500000.0
lovro majer,Bundesliga,2024-2025,Attacking Midfield,vfl wolfsburg,1.78,17000000.0
bence dardai,Bundesliga,2024-2025,Attacking Midfield,vfl wolfsburg,1.89,12000000.0
jakub kaminski,Bundesliga,2024-2025,Left Winger,vfl wolfsburg,1.79,5000000.0
patrick wimmer,Bundesliga,2024-2025,Right Winger,vfl wolfsburg,1.82,15000000.0
andreas skov olsen,Bundesliga,2024-2025,Right Winger,vfl wolfsburg,1.87,14000000.0
bennit broger,Bundesliga,2024-2025,Right Winger,vfl wolfsburg,1.81,500000.0
mohamed amoura,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.7,32000000.0
tiago tomas,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.8,12000000.0
jonas wind,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.9,12000000.0
lukas nmecha,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.85,3000000.0
kevin behrens,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.85,1000000.0
bartosz bialek,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,1.91,800000.0
jonathan akaegbobi,Bundesliga,2024-2025,Centre-Forward,vfl wolfsburg,,
moritz nicolas,Bundesliga,2024-2025,Goalkeeper,borussia monchengladbach,1.93,5000000.0
jonas omlin,Bundesliga,2024-2025,Goalkeeper,borussia monchengladbach,1.9,2500000.0
tiago pereira cardoso,Bundesliga,2024-2025,Goalkeeper,borussia monchengladbach,1.9,1500000.0
tobias sippel,Bundesliga,2024-2025,Goalkeeper,borussia monchengladbach,1.83,300000.0
ko itakura,Bundesliga,2024-2025,Centre-Back,borussia monchengladbach,1.88,12000000.0
nico elvedi,Bundesliga,2024-2025,Centre-Back,borussia monchengladbach,1.89,8000000.0
marvin friedrich,Bundesliga,2024-2025,Centre-Back,borussia monchengladbach,1.93,3500000.0
fabio chiarodia,Bundesliga,2024-2025,Centre-Back,borussia monchengladbach,1.86,2000000.0
lukas ullrich,Bundesliga,2024-2025,Left-Back,borussia monchengladbach,1.8,8000000.0
luca netz,Bundesliga,2024-2025,Left-Back,borussia monchengladbach,1.84,6000000.0
joe scally,Bundesliga,2024-2025,Right-Back,borussia monchengladbach,1.84,10000000.0
stefan lainer,Bundesliga,2024-2025,Right-Back,borussia monchengladbach,1.75,1200000.0
julian weigl,Bundesliga,2024-2025,Defensive Midfield,borussia monchengladbach,1.86,6000000.0
niklas swider,Bundesliga,2024-2025,Defensive Midfield,borussia monchengladbach,1.88,250000.0
veit stange,Bundesliga,2024-2025,Defensive Midfield,borussia monchengladbach,1.88,150000.0
manu kone,Bundesliga,2024-2025,Central Midfield,borussia monchengladbach,1.85,40000000.0
rocco reitz,Bundesliga,2024-2025,Central Midfield,borussia monchengladbach,1.76,15000000.0
philipp sander,Bundesliga,2024-2025,Central Midfield,borussia monchengladbach,1.86,4000000.0
florian neuhaus,Bundesliga,2024-2025,Central Midfield,borussia monchengladbach,1.85,3500000.0
kevin stoger,Bundesliga,2024-2025,Attacking Midfield,borussia monchengladbach,1.75,3500000.0
robin hack,Bundesliga,2024-2025,Left Winger,borussia monchengladbach,1.78,12000000.0
yvandro borges sanches,Bundesliga,2024-2025,Left Winger,borussia monchengladbach,1.8,500000.0
noah pesch,Bundesliga,2024-2025,Left Winger,borussia monchengladbach,1.83,300000.0
franck honorat,Bundesliga,2024-2025,Right Winger,borussia monchengladbach,1.8,12000000.0
nathan ngoumou,Bundesliga,2024-2025,Right Winger,borussia monchengladbach,1.85,4000000.0
charles herrmann,Bundesliga,2024-2025,Right Winger,borussia monchengladbach,1.8,300000.0
tim kleindienst,Bundesliga,2024-2025,Centre-Forward,borussia monchengladbach,1.94,17000000.0
alassane plea,Bundesliga,2024-2025,Centre-Forward,borussia monchengladbach,1.81,5000000.0
tomas cvancara,Bundesliga,2024-2025,Centre-Forward,borussia monchengladbach,1.9,3000000.0
grantleon ranos,Bundesliga,2024-2025,Centre-Forward,borussia monchengladbach,1.8,500000.0
shio fukuda,Bundesliga,2024-2025,Centre-Forward,borussia monchengladbach,1.78,500000.0
oliver baumann,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.87,3000000.0
luca philipp,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.92,750000.0
jakob busk,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.89,250000.0
lukas petersson,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.95,250000.0
benjamin lade,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.87,
tim philipp,Bundesliga,2024-2025,Goalkeeper,tsg hoffenheim,1.92,
leo stigard,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.83,10000000.0
ozan kabak,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.87,5000000.0
arthur chaves,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.88,5000000.0
robin hranac,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.9,3500000.0
tim drexler,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.86,3000000.0
kevin akpoguma,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.92,2500000.0
stanley nsoki,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.84,2500000.0
attila szalai,Bundesliga,2024-2025,Centre-Back,tsg hoffenheim,1.92,1700000.0
