Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
enzo le fee,Roma,226,85.9,89.3,90.8,54.2,0.1,0.2,-0.1,26,2,0,2024-2025,serie-a
nicola leali,Genoa,667,71.1,99.2,99.1,44.9,0.0,0.0,0.0,10,0,0,2024-2025,serie-a
rafael leao,Milan,630,74.2,80.6,80.3,54.5,8.4,6.2,-0.4,37,51,10,2024-2025,serie-a
stefan lekovic,Monza,162,86.2,91.5,91.4,57.9,0.0,0.0,0.0,14,0,0,2024-2025,serie-a
nunzio lella,Venezia,1,100.0,100.0,,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
giovanni leoni,Parma,562,87.7,91.4,92.6,61.4,0.0,0.1,0.0,21,0,0,2024-2025,serie-a
ben lhassine kone,Como,23,95.8,88.9,100.0,100.0,0.0,0.0,0.0,3,1,0,2024-2025,serie-a
mattia liberali,Milan,24,77.4,92.3,80.0,0.0,0.0,0.0,0.0,4,1,0,2024-2025,serie-a
karol linetty,Torino,478,84.6,90.7,87.4,72.1,0.9,0.9,-0.9,45,10,1,2024-2025,serie-a
dailon livramento,Hellas Verona,97,53.9,63.3,61.4,36.4,0.9,0.9,0.1,9,3,1,2024-2025,serie-a
stanislav lobotka,Napoli,1600,90.8,90.8,94.8,83.0,1.2,1.9,-0.2,110,20,1,2024-2025,serie-a
manuel locatelli,Juventus,2134,87.8,92.5,90.7,73.2,2.5,2.7,-0.5,327,31,2,2024-2025,serie-a
ruben loftuscheek,Milan,435,89.7,90.0,93.3,82.1,1.9,0.9,-1.9,40,7,2,2024-2025,serie-a
ademola lookman,Atalanta,684,72.5,86.9,69.5,43.8,7.1,7.9,-2.1,29,43,13,2024-2025,serie-a
sandi lovric,Udinese,749,78.7,89.0,82.2,55.8,3.4,2.4,-0.4,81,21,4,2024-2025,serie-a
lorenzo lucca,Udinese,240,64.0,61.5,76.1,74.1,1.6,0.8,-0.6,17,1,0,2024-2025,serie-a
jhon lucumi,Bologna,1859,91.1,94.4,95.5,72.6,0.4,0.7,0.6,112,0,0,2024-2025,serie-a
jose luis palomino,Cagliari,508,86.7,92.0,92.6,63.6,0.0,0.2,0.0,32,2,0,2024-2025,serie-a
douglas luiz,Juventus,379,86.5,91.2,89.6,69.4,1.0,1.3,-1.0,19,9,1,2024-2025,serie-a
romelu lukaku,Napoli,353,71.0,79.0,71.9,57.9,3.9,2.6,6.1,15,11,1,2024-2025,serie-a
sebastiano luperto,Cagliari,1315,83.9,91.9,90.9,45.9,1.3,0.8,1.7,87,6,1,2024-2025,serie-a
zito luvumbo,Cagliari,181,59.9,75.4,56.7,42.9,3.1,2.1,-1.1,16,13,8,2024-2025,serie-a
charalampos lykogiannis,Bologna,504,71.4,86.6,76.8,44.0,1.6,2.1,2.4,43,13,12,2024-2025,serie-a
mathias lvik,Parma,40,74.1,80.0,82.6,50.0,0.1,0.0,-0.1,1,1,0,2024-2025,serie-a
giangiacomo magnani,Hellas Verona,317,80.7,84.0,91.5,47.8,0.0,0.1,0.0,22,0,0,2024-2025,serie-a
mike maignan,Milan,1338,86.2,98.2,99.5,61.8,0.8,0.2,-0.8,19,0,0,2024-2025,serie-a
antoine makoumbou,Cagliari,1051,88.8,94.8,91.7,58.5,0.9,1.0,2.1,70,14,3,2024-2025,serie-a
daniel maldini,Monza,261,68.3,78.5,72.2,51.2,0.9,1.1,-0.9,14,8,2,2024-2025,serie-a
daniel maldini,Atalanta,61,62.9,75.4,68.4,33.3,0.2,0.3,-0.2,3,1,0,2024-2025,serie-a
youssef maleh,Empoli,398,71.1,80.8,74.0,48.6,0.9,0.4,0.1,62,11,2,2024-2025,serie-a
